faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0833,INT001,Arabic,Scenario,وأنا بجهز بيانات الرحلة، أي مدينة أكتبها كموقع لإقامتي في Nile Pearl Hotel؟,Active,hotel_location,يقع Nile Pearl Hotel في القاهرة، مصر.,Hotel Information,hotel_information.txt,0,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0834,INT001,English,Paraphrased,What Egyptian city should be listed as the location of Nile Pearl Hotel?,Active,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0835,INT001,French,Scenario,Je prépare les informations de mon séjour : quelle ville dois-je indiquer pour le Nile Pearl Hotel ?,Active,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",Hotel Information,hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0836,INT001,Russian,Direct,"Назовите город в Египте, где расположен Nile Pearl Hotel.",Active,hotel_location,"Nile Pearl Hotel расположен в Каире, Египет.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel расположен в Каире, Египет."
FAQ0837,INT002,Arabic,Paraphrased,إلى أي تصنيف نجوم ينتمي Nile Pearl Hotel؟,Active,hotel_category,Nile Pearl Hotel هو فندق من فئة 5 نجوم.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel هو فندق من فئة 5 نجوم.
FAQ0838,INT002,English,Scenario,I'm looking specifically for five-star accommodation. Does Nile Pearl Hotel fit that category?,Active,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0839,INT002,French,Direct,Quel classement en étoiles a le Nile Pearl Hotel ?,Active,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,Hotel Information,hotel_information.txt,0,Easy,Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0840,INT002,Russian,Scenario,Мне нужен отель уровня пять звёзд. Соответствует ли Nile Pearl Hotel этому требованию?,Active,hotel_category,Nile Pearl Hotel — пятизвёздочный отель.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel — пятизвёздочный отель.
FAQ0841,INT003,Arabic,Direct,هل يظل مكتب الاستقبال مفتوحًا طوال الأربع والعشرين ساعة؟,Active,reception_availability,مكتب استقبال الفندق يعمل على مدار الساعة.,Reception,hotel_information.txt,0,Easy,نعم، مكتب استقبال الفندق يعمل على مدار الساعة.
FAQ0842,INT003,English,Paraphrased,Does the front desk remain available around the clock?,Active,reception_availability,Hotel reception operates 24/7.,Reception,hotel_information.txt,0,Easy,Yes. Hotel reception operates 24/7.
FAQ0843,INT003,French,Scenario,Mon arrivée est prévue avant l'aube ; pourrai-je quand même m'adresser à la réception ?,Active,reception_availability,La réception de l'hôtel est ouverte 24h/24 et 7j/7.,Reception,hotel_information.txt,0,Easy,Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.
FAQ0844,INT003,Russian,Paraphrased,Работает ли служба приема гостей в любое время дня и ночи?,Active,reception_availability,Стойка регистрации отеля работает круглосуточно.,Reception,hotel_information.txt,0,Easy,Да. Стойка регистрации отеля работает круглосуточно.
FAQ0845,INT004,Arabic,Scenario,بخطط لوصولي للفندق؛ الساعة كام يبدأ تسجيل الوصول المعتاد؟,Active,check_in_time,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,Check-in / Check-out,check_in_check_out.txt,0,Easy,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.
FAQ0846,INT004,English,Direct,When is the standard hotel check-in time scheduled to begin?,Active,check_in_time,Standard check-in time is 3:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Standard check-in time is 3:00 PM.
FAQ0847,INT004,French,Paraphrased,Quand débute normalement la plage d'enregistrement à l'arrivée ?,Active,check_in_time,L'enregistrement normal commence à 15h00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,L'enregistrement normal commence à 15h00.
FAQ0848,INT004,Russian,Direct,Когда по стандартному расписанию начинается заезд?,Active,check_in_time,Стандартное время регистрации заезда — 15:00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Стандартное время регистрации заезда — 15:00.
FAQ0849,INT005,Arabic,Scenario,لو عندي ترتيبات بعد الفندق يوم السفر، إمتى لازم أكون أتممت تسجيل المغادرة؟,Active,check_out_time,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,Check-in / Check-out,check_in_check_out.txt,0,Easy,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.
FAQ0850,INT005,English,Paraphrased,"Under the usual schedule, by when should check-out be completed?",Active,check_out_time,The standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,The standard check-out time is 12:00 PM.
FAQ0851,INT005,French,Direct,Quel horaire s'applique au départ normal des clients ?,Active,check_out_time,L'heure normale de départ est 12h00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,L'heure normale de départ est 12h00.
FAQ0852,INT005,Russian,Scenario,Я составляю расписание на день отъезда. Во сколько обычно нужно закончить выезд?,Active,check_out_time,Стандартное время регистрации выезда — 12:00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Стандартное время регистрации выезда — 12:00.
FAQ0853,INT006,Arabic,Paraphrased,هل يمكن طلب دخول مبكر للغرفة إذا كانت متوفرة ووافق الفندق؟,Active,early_check_in,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.,Check-in / Check-out,check_in_check_out.txt,0,Medium,نعم، يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.
FAQ0854,INT006,English,Scenario,I may reach the hotel several hours early. Can I submit a request for early check-in?,Active,early_check_in,Early check-in can be requested and is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Yes. Early check-in can be requested, subject to room availability and hotel approval."
FAQ0855,INT006,French,Direct,Une demande d'accès anticipé à la chambre est-elle possible ?,Active,early_check_in,L'arrivée anticipée peut être demandée et dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.,Check-in / Check-out,check_in_check_out.txt,0,Medium,Oui. Une arrivée anticipée peut être demandée selon la disponibilité de la chambre et l'approbation de l'hôtel.
FAQ0856,INT006,Russian,Paraphrased,Можно ли подать запрос на получение номера до обычного времени заселения?,Active,early_check_in,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров и одобрения отеля.",Check-in / Check-out,check_in_check_out.txt,0,Medium,"Да. Ранний заезд можно запросить, но он зависит от наличия свободных номеров и одобрения отеля."
FAQ0857,INT007,Arabic,Direct,هل توجد إمكانية لطلب تسجيل مغادرة متأخر؟,Active,late_check_out,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,Check-in / Check-out,check_in_check_out.txt,0,Medium,نعم، يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.
FAQ0858,INT007,English,Scenario,My transport leaves much later than check-out time. May I request a later departure from the room?,Active,late_check_out,Late check-out can be requested and is subject to availability and may incur an additional fee.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Yes. Late check-out can be requested, subject to availability, and may incur an additional fee."
FAQ0859,INT007,French,Paraphrased,Peut-on solliciter une prolongation du séjour dans la chambre après l'heure normale de départ ?,Active,late_check_out,"Un départ tardif peut être demandé et dépend de la disponibilité, avec des frais supplémentaires possibles.",Check-in / Check-out,check_in_check_out.txt,0,Medium,"Oui. Un départ tardif peut être demandé selon la disponibilité, avec des frais supplémentaires possibles."
FAQ0860,INT007,Russian,Direct,Можно ли попросить дополнительное время в номере перед отъездом?,Active,late_check_out,"Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату.",Check-in / Check-out,check_in_check_out.txt,0,Medium,"Да. Поздний выезд можно запросить, но он зависит от наличия и может повлечь дополнительную плату."
FAQ0861,INT008,Arabic,Paraphrased,هل يلزم إثبات هوية ساري المفعول لإنهاء إجراءات تسجيل الوصول؟,Active,identification_required,يجب على الضيوف تقديم وثيقة هوية سارية أثناء تسجيل الوصول.,Check-in / Check-out,identification_policy.txt,0,Medium,نعم، يجب على الضيوف تقديم وثيقة هوية سارية أثناء تسجيل الوصول.
FAQ0862,INT008,English,Direct,Must guests show valid ID when checking in?,Active,identification_required,Guests are required to provide valid identification documents during check-in.,Check-in / Check-out,identification_policy.txt,0,Medium,Yes. Guests are required to provide valid identification documents during check-in.
FAQ0863,INT008,French,Scenario,Je rassemble mes documents avant le voyage : dois-je prévoir une pièce d'identité valide pour l'enregistrement ?,Active,identification_required,Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement.,Check-in / Check-out,identification_policy.txt,0,Medium,Oui. Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement.
FAQ0864,INT008,Russian,Scenario,Я собираю документы перед поездкой. Понадобится ли действительное удостоверение личности при регистрации?,Active,identification_required,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации.",Check-in / Check-out,identification_policy.txt,0,Medium,"Да. При регистрации гости должны предъявить действительный документ, удостоверяющий личность."
