faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0257,INT001,Arabic,,,generated,hotel_location,,,batch_01,0,Easy,
FAQ0258,INT001,English,,,generated,hotel_location,,,batch_01,0,Easy,
FAQ0259,INT001,French,,,generated,hotel_location,,,batch_01,0,Easy,
FAQ0260,INT001,Russian,,,generated,hotel_location,,,batch_01,0,Easy,
FAQ0261,INT002,Arabic,,,generated,hotel_category,,,batch_01,0,Easy,
FAQ0262,INT002,English,,,generated,hotel_category,,,batch_01,0,Easy,
FAQ0263,INT002,French,,,generated,hotel_category,,,batch_01,0,Easy,
FAQ0264,INT002,Russian,,,generated,hotel_category,,,batch_01,0,Easy,
FAQ0265,INT003,Arabic,,,generated,reception_availability,,,batch_01,0,Easy,
FAQ0266,INT003,English,,,generated,reception_availability,,,batch_01,0,Easy,
FAQ0267,INT003,French,,,generated,reception_availability,,,batch_01,0,Easy,
FAQ0268,INT003,Russian,,,generated,reception_availability,,,batch_01,0,Easy,
FAQ0269,INT004,Arabic,,,generated,check_in_time,,,batch_01,0,Easy,
FAQ0270,INT004,English,,,generated,check_in_time,,,batch_01,0,Easy,
FAQ0271,INT004,French,,,generated,check_in_time,,,batch_01,0,Easy,
FAQ0272,INT004,Russian,,,generated,check_in_time,,,batch_01,0,Easy,
FAQ0273,INT005,Arabic,,,generated,check_out_time,,,batch_01,0,Easy,
FAQ0274,INT005,English,,,generated,check_out_time,,,batch_01,0,Easy,
FAQ0275,INT005,French,,,generated,check_out_time,,,batch_01,0,Easy,
FAQ0276,INT005,Russian,,,generated,check_out_time,,,batch_01,0,Easy,
FAQ0277,INT006,Arabic,,,generated,early_check_in,,,batch_01,0,Easy,
FAQ0278,INT006,English,,,generated,early_check_in,,,batch_01,0,Easy,
FAQ0279,INT006,French,,,generated,early_check_in,,,batch_01,0,Easy,
FAQ0280,INT006,Russian,,,generated,early_check_in,,,batch_01,0,Easy,
FAQ0281,INT007,Arabic,,,generated,late_check_out,,,batch_01,0,Easy,
FAQ0282,INT007,English,,,generated,late_check_out,,,batch_01,0,Easy,
FAQ0283,INT007,French,,,generated,late_check_out,,,batch_01,0,Easy,
FAQ0284,INT007,Russian,,,generated,late_check_out,,,batch_01,0,Easy,
FAQ0285,INT008,Arabic,,,generated,identification_required,,,batch_01,0,Easy,
FAQ0286,INT008,English,,,generated,identification_required,,,batch_01,0,Easy,
FAQ0287,INT008,French,,,generated,identification_required,,,batch_01,0,Easy,
FAQ0288,INT008,Russian,,,generated,identification_required,,,batch_01,0,Easy,
