batch_faq_id,master_faq_id,batch_intent,master_intent,language,similarity,batch_question,master_question
FAQ0481,FAQ0449,INT001,INT001,Arabic,0.714286,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,إذا كنت أخطط للإقامة في القاهرة، ففي أي مدينة يقع Nile Pearl Hotel؟
FAQ0481,FAQ0013,INT001,INT001,Arabic,0.616822,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,في أي جزء من القاهرة يقع فندق Nile Pearl Hotel؟
FAQ0481,FAQ0257,INT001,INT001,Arabic,0.59854,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,إذا أردت معرفة موقع الفندق بالنسبة لمناطق القاهرة، فأين يوجد Nile Pearl Hotel؟
FAQ0482,FAQ0258,INT001,INT001,English,0.757895,What city is the Nile Pearl Hotel based in?,Which part of the city is Nile Pearl Hotel located in?
FAQ0482,FAQ0003,INT001,INT001,English,0.746988,What city is the Nile Pearl Hotel based in?,In which city is Nile Pearl Hotel located?
FAQ0482,FAQ0450,INT001,INT001,English,0.738095,What city is the Nile Pearl Hotel based in?,Which city is home to the Nile Pearl Hotel?
FAQ0483,FAQ0451,INT001,INT001,French,0.755906,"Pour un voyage en Égypte, dans quelle ville puis-je trouver le Nile Pearl Hotel ?",Dans quelle ville se trouve le Nile Pearl Hotel ?
FAQ0483,FAQ0019,INT001,INT001,French,0.676923,"Pour un voyage en Égypte, dans quelle ville puis-je trouver le Nile Pearl Hotel ?",Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?
FAQ0483,FAQ0259,INT001,INT001,French,0.671429,"Pour un voyage en Égypte, dans quelle ville puis-je trouver le Nile Pearl Hotel ?",Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?
FAQ0484,FAQ0029,INT001,INT001,Russian,0.845361,В каком городе Египта расположен Nile Pearl Hotel?,В какой части города расположен Nile Pearl Hotel?
FAQ0484,FAQ0030,INT001,INT001,Russian,0.845361,В каком городе Египта расположен Nile Pearl Hotel?,В каком районе Каира расположен Nile Pearl Hotel?
FAQ0484,FAQ0388,INT001,INT001,Russian,0.772727,В каком городе Египта расположен Nile Pearl Hotel?,Где в Каире расположен Nile Pearl Hotel?
FAQ0485,FAQ0449,INT002,INT001,Arabic,0.622222,إذا كنت أختار فندقًا من فئة خمس نجوم، فهل ينطبق ذلك على Nile Pearl Hotel؟,إذا كنت أخطط للإقامة في القاهرة، ففي أي مدينة يقع Nile Pearl Hotel؟
FAQ0485,FAQ0045,INT002,INT002,Arabic,0.581197,إذا كنت أختار فندقًا من فئة خمس نجوم، فهل ينطبق ذلك على Nile Pearl Hotel؟,ما فئة النجوم التي ينتمي إليها Nile Pearl Hotel؟
FAQ0485,FAQ0421,INT002,INT002,Arabic,0.576271,إذا كنت أختار فندقًا من فئة خمس نجوم، فهل ينطبق ذلك على Nile Pearl Hotel؟,إلى أي فئة من فئات الفنادق يُنسب Nile Pearl Hotel؟
FAQ0486,FAQ0034,INT002,INT002,English,0.594595,I prefer a five-star property. Does Nile Pearl Hotel meet that rating?,What star rating does Nile Pearl Hotel have?
FAQ0486,FAQ0258,INT002,INT001,English,0.578512,I prefer a five-star property. Does Nile Pearl Hotel meet that rating?,Which part of the city is Nile Pearl Hotel located in?
FAQ0486,FAQ0454,INT002,INT002,English,0.563758,I prefer a five-star property. Does Nile Pearl Hotel meet that rating?,I am comparing hotels in Cairo. What star category does Nile Pearl Hotel belong to?
FAQ0487,FAQ0327,INT002,INT002,French,0.695652,Le Nile Pearl Hotel est-il classé cinq étoiles ?,Comment le Nile Pearl Hotel est-il classé selon son niveau hôtelier ?
FAQ0487,FAQ0459,INT002,INT003,French,0.614035,Le Nile Pearl Hotel est-il classé cinq étoiles ?,La réception du Nile Pearl Hotel est-elle disponible à toute heure ?
FAQ0487,FAQ0052,INT002,INT002,French,0.574074,Le Nile Pearl Hotel est-il classé cinq étoiles ?,Quel est le classement du Nile Pearl Hotel en nombre d'étoiles?
FAQ0488,FAQ0057,INT002,INT002,Russian,0.579439,"Если для меня важна категория пять звёзд, подходит ли Nile Pearl Hotel?",Сколько звезд у отеля Nile Pearl Hotel?
FAQ0488,FAQ0058,INT002,INT002,Russian,0.566667,"Если для меня важна категория пять звёзд, подходит ли Nile Pearl Hotel?",Какая категория отеля является для Nile Pearl Hotel?
FAQ0488,FAQ0031,INT002,INT001,Russian,0.565217,"Если для меня важна категория пять звёзд, подходит ли Nile Pearl Hotel?","Если я планирую поездку в Египет, где находится отель Nile Pearl Hotel?"
FAQ0489,FAQ0393,INT003,INT003,Arabic,0.818182,هل يمكن التواصل مع استقبال الفندق في أي وقت؟,هل يمكنني التواصل مع مكتب الاستقبال في أي وقت؟
FAQ0489,FAQ0297,INT003,INT003,Arabic,0.673469,هل يمكن التواصل مع استقبال الفندق في أي وقت؟,هل يمكنني الوصول إلى موظفي الاستقبال في أي وقت من اليوم؟
FAQ0489,FAQ0265,INT003,INT003,Arabic,0.581395,هل يمكن التواصل مع استقبال الفندق في أي وقت؟,هل مكتب استقبال الفندق يعمل على مدار الساعة؟
