new_faq_id,new_intent,new_language,new_question,existing_faq_id,existing_intent,existing_language,existing_question,similarity,same_intent,same_language
FAQ0471,INT006,French,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel ?,FAQ0178,INT006,French,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel?,0.999861478805542,True,True
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0385,INT001,Arabic,في أي مدينة يوجد Nile Pearl Hotel؟,0.9941577315330505,True,False
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0029,INT001,Russian,В какой части города расположен Nile Pearl Hotel?,0.9914284348487854,True,False
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0003,INT001,English,In which city is Nile Pearl Hotel located?,0.9900825023651123,True,False
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0259,INT001,French,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.9880255460739136,True,True
FAQ0468,INT005,Russian,К какому времени нужно освободить номер в Nile Pearl Hotel?,FAQ0340,INT005,Russian,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.983083188533783,True,True
FAQ0453,INT002,Arabic,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,FAQ0052,INT002,French,Quel est le classement du Nile Pearl Hotel en nombre d'étoiles?,0.9822805523872375,True,False
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0003,INT001,English,In which city is Nile Pearl Hotel located?,0.9783709049224854,True,True
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0263,INT002,French,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.978193461894989,True,True
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0385,INT001,Arabic,في أي مدينة يوجد Nile Pearl Hotel؟,0.977810800075531,True,False
FAQ0456,INT002,Russian,Сколько звёзд у Nile Pearl Hotel?,FAQ0050,INT002,French,Combien d'étoiles a l'hôtel Nile Pearl Hotel?,0.9777073860168457,True,False
FAQ0463,INT004,French,"Si j'arrive à l'hôtel le jour de mon séjour, à partir de quelle heure puis-je normalement m'enregistrer ?",FAQ0303,INT004,French,J'arriverai à l'hôtel le jour de mon arrivée ; à quelle heure puis-je normalement m'enregistrer ?,0.9768353700637817,True,True
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0021,INT001,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,0.9763766527175903,True,True
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0260,INT001,Russian,В каком районе города находится отель Nile Pearl Hotel?,0.9761343598365784,True,False
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0262,INT002,English,What hotel category is Nile Pearl Hotel?,0.9761041402816772,True,False
FAQ0456,INT002,Russian,Сколько звёзд у Nile Pearl Hotel?,FAQ0044,INT002,Arabic,كم عدد النجوم التي يُصنَّف بها فندق Nile Pearl Hotel؟,0.9745697379112244,True,False
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0061,INT002,Russian,К какому уровню или категории относится Nile Pearl Hotel?,0.9743450880050659,True,False
FAQ0100,INT004,English,What time is check-in usually available at Nile Pearl Hotel?,FAQ0466,INT005,English,What is the standard check-out time at Nile Pearl Hotel?,0.9739680290222168,False,True
FAQ0466,INT005,English,What is the standard check-out time at Nile Pearl Hotel?,FAQ0100,INT004,English,What time is check-in usually available at Nile Pearl Hotel?,0.9739680290222168,False,True
FAQ0456,INT002,Russian,Сколько звёзд у Nile Pearl Hotel?,FAQ0264,INT002,Russian,Сколько звёзд или какой класс имеет Nile Pearl Hotel?,0.9736646413803101,True,True
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0259,INT001,French,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.9728085994720459,True,False
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0258,INT001,English,Which part of the city is Nile Pearl Hotel located in?,0.9726210832595825,True,False
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0029,INT001,Russian,В какой части города расположен Nile Pearl Hotel?,0.9718513488769531,True,False
FAQ0462,INT004,English,From what time can guests normally check in at Nile Pearl Hotel?,FAQ0102,INT004,English,At what time can I normally check in at Nile Pearl Hotel?,0.9715440273284912,True,True
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0054,INT002,French,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9702358245849609,True,True
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0258,INT001,English,Which part of the city is Nile Pearl Hotel located in?,0.9679471254348755,True,True
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0004,INT001,English,In which city can I find the Nile Pearl Hotel?,0.9679405689239502,True,False
FAQ0473,INT007,Arabic,هل يمكنني طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel؟,FAQ0202,INT007,Arabic,هل يمكنني طلب تسجيل خروج متأخر في Nile Pearl Hotel، وما الشروط المطلوبة؟,0.9678339958190918,True,True
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0058,INT002,Russian,Какая категория отеля является для Nile Pearl Hotel?,0.9672281742095947,True,False
FAQ0456,INT002,Russian,Сколько звёзд у Nile Pearl Hotel?,FAQ0041,INT002,Arabic,كم نجمة مُصنَّف بها Nile Pearl Hotel؟,0.9671406745910645,True,False
FAQ0456,INT002,Russian,Сколько звёзд у Nile Pearl Hotel?,FAQ0057,INT002,Russian,Сколько звезд у отеля Nile Pearl Hotel?,0.9666820764541626,True,True
FAQ0453,INT002,Arabic,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,FAQ0044,INT002,Arabic,كم عدد النجوم التي يُصنَّف بها فندق Nile Pearl Hotel؟,0.9664174318313599,True,True
FAQ0467,INT005,French,"Si je termine mon séjour au Nile Pearl Hotel, à quelle heure dois-je libérer ma chambre ?",FAQ0148,INT005,French,À quelle heure dois-je libérer ma chambre au Nile Pearl Hotel le jour du départ ?,0.9663088321685791,True,True
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0020,INT001,French,Quel est le nom de la ville où se trouve l'hôtel Nile Pearl Hotel ?,0.9652493000030518,True,True
FAQ0461,INT004,Arabic,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,FAQ0108,INT004,Arabic,متى يبدأ موعد تسجيل الوصول المعتاد للضيوف في فندق Nile Pearl Hotel؟,0.9647240042686462,True,True
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0004,INT001,English,In which city can I find the Nile Pearl Hotel?,0.9643617868423462,True,True
FAQ0451,INT001,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,FAQ0001,INT001,English,Where is Nile Pearl Hotel located?,0.9643347859382629,True,False
FAQ0480,INT008,Russian,Нужно ли предъявлять действующее удостоверение личности при заселении в Nile Pearl Hotel?,FAQ0249,INT008,Russian,Нужно ли предъявлять удостоверение личности для оформления регистрации в Nile Pearl Hotel?,0.9640954732894897,True,True
FAQ0475,INT007,French,Le départ tardif est-il possible au Nile Pearl Hotel ?,FAQ0209,INT007,French,"Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",0.9639451503753662,True,True
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0423,INT002,French,Quelle est la classification hôtelière du Nile Pearl Hotel ?,0.9635251760482788,True,True
FAQ0461,INT004,Arabic,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,FAQ0111,INT004,Arabic,هل يمكنني معرفة وقت تسجيل الوصول المعتاد في Nile Pearl Hotel؟,0.9635148048400879,True,True
FAQ0462,INT004,English,From what time can guests normally check in at Nile Pearl Hotel?,FAQ0334,INT004,English,What time are guests first permitted to check in at Nile Pearl Hotel?,0.9634712934494019,True,True
FAQ0466,INT005,English,What is the standard check-out time at Nile Pearl Hotel?,FAQ0116,INT004,French,Quelle heure est le check-in standard à l'hôtel Nile Pearl Hotel?,0.9633973836898804,False,False
FAQ0116,INT004,French,Quelle heure est le check-in standard à l'hôtel Nile Pearl Hotel?,FAQ0466,INT005,English,What is the standard check-out time at Nile Pearl Hotel?,0.9633973836898804,False,False
FAQ0453,INT002,Arabic,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,FAQ0049,INT002,French,Quel est le nombre d'étoiles attribué au Nile Pearl Hotel?,0.9626387357711792,True,False
FAQ0455,INT002,French,Quelle est la catégorie du Nile Pearl Hotel ?,FAQ0424,INT002,Russian,Какова гостиничная классификация Nile Pearl Hotel?,0.9625545740127563,True,False
FAQ0469,INT006,Arabic,إذا وصلت إلى Nile Pearl Hotel قبل الموعد المعتاد، هل يمكنني طلب تسجيل الوصول المبكر؟,FAQ0189,INT006,Russian,Могу ли я приехать в Nile Pearl Hotel раньше обычного времени и запросить раннюю регистрацию заезда?,0.962501049041748,True,False
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0021,INT001,French,Dans quelle ville et dans quel secteur se situe le Nile Pearl Hotel ?,0.9597840309143066,True,False
FAQ0450,INT001,English,Which city is home to the Nile Pearl Hotel?,FAQ0260,INT001,Russian,В каком районе города находится отель Nile Pearl Hotel?,0.9590007662773132,True,False
FAQ0453,INT002,Arabic,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,FAQ0042,INT002,Arabic,ما هو عدد النجوم التي يتم تقييم فندق Nile Pearl Hotel بها؟,0.9584322571754456,True,True
