faq_id,language,ground_truth,answer,gt_fee_detected,answer_fee_detected
FAQ0193,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",True,True
FAQ0194,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is available at Nile Pearl Hotel, subject to room availability. Please note that an additional fee may apply. We will do our best to accommodate your request.",True,True
FAQ0195,English,Late check-out is subject to availability and may incur an additional fee.,"Late check-out is available at Nile Pearl Hotel, subject to availability, and may incur an additional fee.",True,True
FAQ0196,English,Late check-out is subject to availability and may incur an additional fee.,Late check-out is subject to availability and may incur an additional fee. Please inquire at the front desk upon check-out for any applicable charges.,True,True
FAQ0197,English,Late check-out is subject to availability and may incur an additional fee.,Late check-out at Nile Pearl Hotel is subject to availability and may incur an additional fee. Please inquire at the front desk upon check-in for availability.,True,True
FAQ0198,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is available at Nile Pearl Hotel, subject to availability. Please note that an additional fee may apply. Thank you for your understanding.",True,True
FAQ0199,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is subject to availability and may incur an additional fee. Please let us know your requirements, and we will do our best to accommodate you.",True,True
FAQ0200,English,Late check-out is subject to availability and may incur an additional fee.,"Certainly, you can arrange for your luggage to be stored at Nile Pearl Hotel after check-out. However, late check-out may incur an additional fee, subject to availability. Please let us know your requirements, and we will be happy to assist you.",True,True
FAQ0201,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,True
FAQ0202,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,False,True
FAQ0203,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,False,True
FAQ0204,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,False,True
FAQ0205,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,False,True
FAQ0206,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,False,True
FAQ0207,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,False,True
FAQ0208,Arabic,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,False,True
FAQ0209,French,Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",False,True
