batch_faq_id,master_faq_id,batch_intent,master_intent,batch_language,master_language,similarity,batch_question,master_question
FAQ0481,FAQ0449,INT001,INT001,Arabic,Arabic,0.444444,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,إذا كنت أخطط للإقامة في القاهرة، ففي أي مدينة يقع Nile Pearl Hotel؟
FAQ0481,FAQ0013,INT001,INT001,Arabic,Arabic,0.4375,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,في أي جزء من القاهرة يقع فندق Nile Pearl Hotel؟
FAQ0481,FAQ0012,INT001,INT001,Arabic,Arabic,0.333333,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,أين يقع Nile Pearl Hotel في مصر؟
FAQ0481,FAQ0047,INT001,INT002,Arabic,Arabic,0.304348,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,إذا كنت أختار Nile Pearl Hotel للإقامة في القاهرة، فما هو تصنيف الفندق من حيث عدد النجوم؟
FAQ0481,FAQ0010,INT001,INT001,Arabic,Arabic,0.294118,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟
FAQ0481,FAQ0109,INT001,INT004,Arabic,Arabic,0.294118,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,متى يمكنني تسجيل الوصول في فندق Nile Pearl Hotel؟
FAQ0481,FAQ0079,INT001,INT003,Arabic,Arabic,0.28,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,إذا كنت في Nile Pearl Hotel ورغبتم في الاستفسار عن خدمة الغرف في منتصف الليل، هل يمكن التواصل مع مكتب الاستقبال؟
FAQ0481,FAQ0015,INT001,INT001,Arabic,Arabic,0.272727,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,أنا مهتم بزيارة مصر وحجز غرفة في Nile Pearl Hotel، فهل يمكنك معرفة موقعه في القاهرة؟
FAQ0481,FAQ0144,INT001,INT005,Arabic,Arabic,0.272727,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,إذا كنت ترغب في مغادرة Nile Pearl Hotel اليوم، ما هو الوقت المعتاد لتسجيل الخروج؟
FAQ0481,FAQ0016,INT001,INT001,Arabic,Arabic,0.269231,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,أنا أخطط لزيارة مصر وقمت بالبحث عن فندق Nile Pearl Hotel، هل يمكنني أن أعرف موقع هذا الفندق في القاهرة؟
