faq_id,intent_name,language,question_type,question,ground_truth,answer,status,difficulty,attempts,source
FAQ0705,hotel_location,English,Direct,Where is the hotel located?,"Nile Pearl Hotel is located in Cairo, Egypt.","Nile Pearl Hotel is located in Cairo, Egypt.",generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0706,hotel_location,Arabic,Paraphrased,أين يقع الفندق؟,يقع فندق نايل بيرل في القاهرة، مصر.,يقع فندق نايل بيرل في القاهرة، مصر.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0707,hotel_location,French,Scenario,Où se trouve l'hôtel ?,"L'hôtel Nile Pearl est situé au Caire, en Égypte.","L'hôtel Nile Pearl est situé au Caire, en Égypte.",generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0708,hotel_location,Russian,Direct,Где находится отель?,"Отель Nile Pearl находится в Каире, Египет.","Отель Nile Pearl находится в Каире, Египет.",generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0709,hotel_category,English,Paraphrased,What category is the hotel?,Nile Pearl Hotel is a 5-Star Hotel.,Nile Pearl Hotel is a 5-Star Hotel.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0710,hotel_category,Arabic,Scenario,ما تصنيف الفندق؟,فندق نايل بيرل هو فندق خمس نجوم.,فندق نايل بيرل هو فندق خمس نجوم.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0711,hotel_category,French,Direct,Quelle est la catégorie de l'hôtel ?,L'hôtel Nile Pearl est un hôtel 5 étoiles.,L'hôtel Nile Pearl est un hôtel 5 étoiles.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0712,hotel_category,Russian,Paraphrased,Какова категория отеля?,Отель Nile Pearl — пятизвёздочный отель.,Отель Nile Pearl — пятизвёздочный отель.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt
FAQ0713,reception_availability,English,Scenario,Is the hotel reception available 24 hours a day?,Hotel reception is available 24/7.,Hotel reception is available 24/7.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/contact_information.txt
FAQ0714,reception_availability,Arabic,Direct,هل مكتب الاستقبال متاح على مدار 24 ساعة؟,مكتب استقبال الفندق متاح على مدار 24 ساعة.,مكتب استقبال الفندق متاح على مدار 24 ساعة.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/contact_information.txt
FAQ0715,reception_availability,French,Paraphrased,La réception de l'hôtel est-elle disponible 24 heures sur 24 ?,La réception de l'hôtel est disponible 24 heures sur 24.,La réception de l'hôtel est disponible 24 heures sur 24.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/contact_information.txt
FAQ0716,reception_availability,Russian,Scenario,Работает ли стойка регистрации круглосуточно?,Стойка регистрации отеля работает круглосуточно.,Стойка регистрации отеля работает круглосуточно.,generated,Easy,0,02_Hotel_Knowledge/Hotel_Information/contact_information.txt
FAQ0717,check_in_time,English,Direct,What is the standard check-in time?,The standard check-in time is 3:00 PM.,The standard check-in time is 3:00 PM.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0718,check_in_time,Arabic,Paraphrased,ما هو وقت تسجيل الوصول المعتاد؟,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0719,check_in_time,French,Scenario,Quelle est l'heure d'enregistrement standard ?,L'heure d'enregistrement standard est 15h00.,L'heure d'enregistrement standard est 15h00.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0720,check_in_time,Russian,Direct,Какое стандартное время регистрации заезда?,Стандартное время заезда — 15:00.,Стандартное время заезда — 15:00.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0721,check_out_time,English,Paraphrased,What is the standard check-out time?,The standard check-out time is 12:00 PM.,The standard check-out time is 12:00 PM.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0722,check_out_time,Arabic,Scenario,ما هو وقت تسجيل المغادرة المعتاد؟,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0723,check_out_time,French,Direct,Quelle est l'heure de départ standard ?,L'heure de départ standard est 12h00.,L'heure de départ standard est 12h00.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0724,check_out_time,Russian,Paraphrased,Какое стандартное время регистрации выезда?,Стандартное время выезда — 12:00.,Стандартное время выезда — 12:00.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0725,early_check_in,English,Scenario,Can I check in early?,Early check-in is subject to room availability and hotel approval.,Early check-in is subject to room availability and hotel approval.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0726,early_check_in,Arabic,Direct,هل يمكنني تسجيل الوصول مبكرًا؟,تسجيل الوصول المبكر يخضع لتوفر الغرفة وموافقة الفندق.,تسجيل الوصول المبكر يخضع لتوفر الغرفة وموافقة الفندق.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0727,early_check_in,French,Paraphrased,Puis-je faire un enregistrement anticipé ?,L'enregistrement anticipé dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.,L'enregistrement anticipé dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0728,early_check_in,Russian,Scenario,Можно ли заселиться раньше установленного времени?,Ранний заезд зависит от наличия номера и одобрения отеля.,Ранний заезд зависит от наличия номера и одобрения отеля.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0729,late_check_out,English,Direct,Can I check out late?,Late check-out is subject to availability and hotel approval.,Late check-out is subject to availability and hotel approval.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0730,late_check_out,Arabic,Paraphrased,هل يمكنني تسجيل المغادرة متأخرًا؟,تسجيل المغادرة المتأخر يخضع للتوفر وموافقة الفندق.,تسجيل المغادرة المتأخر يخضع للتوفر وموافقة الفندق.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0731,late_check_out,French,Scenario,Puis-je effectuer un départ tardif ?,Le départ tardif dépend de la disponibilité et de l'approbation de l'hôtel.,Le départ tardif dépend de la disponibilité et de l'approbation de l'hôtel.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0732,late_check_out,Russian,Direct,Можно ли оформить поздний выезд?,Поздний выезд зависит от наличия свободных номеров и одобрения отеля.,Поздний выезд зависит от наличия свободных номеров и одобрения отеля.,generated,Easy,0,02_Hotel_Knowledge/Policies/check_in_check_out.txt
FAQ0733,identification_required,English,Paraphrased,Do I need identification when checking in?,Guests are required to provide valid identification during check-in.,Guests are required to provide valid identification during check-in.,generated,Easy,0,02_Hotel_Knowledge/Policies/identification_policy.txt
FAQ0734,identification_required,Arabic,Scenario,هل أحتاج إلى إثبات هوية عند تسجيل الوصول؟,يُطلب من النزلاء تقديم إثبات هوية ساري المفعول أثناء تسجيل الوصول.,يُطلب من النزلاء تقديم إثبات هوية ساري المفعول أثناء تسجيل الوصول.,generated,Easy,0,02_Hotel_Knowledge/Policies/identification_policy.txt
FAQ0735,identification_required,French,Direct,Ai-je besoin d'une pièce d'identité lors de l'enregistrement ?,Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement.,Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement.,generated,Easy,0,02_Hotel_Knowledge/Policies/identification_policy.txt
FAQ0736,identification_required,Russian,Paraphrased,"Нужен ли документ, удостоверяющий личность, при регистрации?","При регистрации гости должны предъявить действующий документ, удостоверяющий личность.","При регистрации гости должны предъявить действующий документ, удостоверяющий личность.",generated,Easy,0,02_Hotel_Knowledge/Policies/identification_policy.txt
