issue,intent_id,language,count
INT007_ANSWER_AVAILABILITY,INT007,Arabic,12
INT007_ANSWER_ADDITIONAL_FEE,INT007,French,9
INT006_ANSWER_APPROVAL,INT006,Russian,7
INT006_ANSWER_AVAILABILITY,INT006,French,6
INT007_ANSWER_ADDITIONAL_FEE,INT007,Arabic,5
INT007_ANSWER_AVAILABILITY,INT007,Russian,3
INT002_ANSWER_STARS,INT002,English,1
INT007_ANSWER_AVAILABILITY,INT007,French,1
INT008_ANSWER_IDENTIFICATION,INT008,Arabic,1
INT008_ANSWER_IDENTIFICATION,INT008,English,1
INT008_ANSWER_IDENTIFICATION,INT008,French,1
