payment_id,booking_id,payment_method,amount_paid,payment_status,refund_amount,transaction_reference
P000001,B000001,Credit Card,0.0,Pending,0.0,131b72dd-1c2d-445d-9402-62edaff24ec6
P000002,B000002,Credit Card,16025.7,Paid,0.0,43598bf8-9d21-470c-bc76-d7515a3d5d95
P000003,B000003,Credit Card,0.0,Failed,0.0,ebc08ab3-b6dc-4562-b11a-8ed87cad3d62
P000004,B000004,Debit Card,16539.2,Refunded,16539.2,a89f9509-7fa3-45d7-81bc-f19d3364930b
P000005,B000005,Debit Card,0.0,Pending,0.0,511ec68b-23b4-463a-9353-7a8f6c4b3b85
P000006,B000006,Digital Wallet,0.0,Pending,0.0,759492a7-811e-48da-83f6-41263f10df3f
P000007,B000007,Debit Card,21382.35,Paid,0.0,13f05edc-e895-48ca-88fc-8b3aadad6448
P000008,B000008,Credit Card,11085.66,Paid,0.0,e2398e47-0977-449b-9fb8-91df34d6f2de
P000009,B000009,Bank Transfer,0.0,Pending,0.0,2234d7af-edd2-499a-8ff0-3993a492053d
P000010,B000010,Credit Card,16524.2,Refunded,16524.2,bb14acc5-f104-4e40-9eb9-54b59e929fbd
P000011,B000011,Digital Wallet,19173.48,Paid,0.0,559b375b-6842-4451-b19b-a1a31911d396
P000012,B000012,Cash,0.0,Pending,0.0,b70ac5d5-1c94-4ba1-ba61-93037e742ac0
P000013,B000013,Cash,46212.39,Refunded,46212.39,ebe3bcb9-a7cc-4ff3-924a-f27d395f6c84
P000014,B000014,Credit Card,7536.12,Refunded,7536.12,efaafbad-d506-4d54-bda1-c9d3b7a86aee
P000015,B000015,Credit Card,39589.02,Refunded,39589.02,04b6a487-48aa-42f7-a054-c9fad35dc1f8
P000016,B000016,Credit Card,27630.35,Partially Refunded,8788.14,b15e5f5e-9a0e-41bf-a186-73f7cd32481e
P000017,B000017,Cash,0.0,Pending,0.0,7952978a-7c68-4ca0-bfb2-d4d8e921f2d9
P000018,B000018,Digital Wallet,2925.89,Paid,0.0,051d220a-97b7-4c99-96f0-f1efe09e34a9
P000019,B000019,Credit Card,42235.7,Refunded,42235.7,e8d83ac9-7b5c-4cad-a630-c09c85f8571e
P000020,B000020,Credit Card,0.0,Pending,0.0,474891db-61f6-434e-b212-daf0f83ab572
P000021,B000021,Debit Card,12150.8,Paid,0.0,0ea10ec5-151a-4973-ab0e-591bc62b6e74
P000022,B000022,Debit Card,36974.85,Refunded,36974.85,99a81bff-a28f-45f0-b41d-035c9988802e
P000023,B000023,Credit Card,12608.16,Refunded,12608.16,7a7de013-9078-4761-bb62-70713ff25a46
P000024,B000024,Credit Card,27037.8,Paid,0.0,306853c4-2f16-4647-996b-e376b76a7874
P000025,B000025,Cash,20395.1,Paid,0.0,0a284c04-3ded-4edc-8db4-8ba4bd5c3751
P000026,B000026,Credit Card,17161.05,Partially Refunded,3770.35,285c7fa5-7d97-4a0a-bb6f-397bee697713
P000027,B000027,Debit Card,33943.35,Paid,0.0,964d0455-34e3-412d-96dc-ce7a32054798
