batch_faq_id,master_faq_id,batch_intent,master_intent,batch_language,master_language,similarity,batch_question,master_question
FAQ0577,FAQ0045,INT001,INT002,Arabic,Arabic,0.742268,ما المدينة المصرية التي يوجد فيها Nile Pearl Hotel؟,ما فئة النجوم التي ينتمي إليها Nile Pearl Hotel؟
FAQ0577,FAQ0517,INT001,INT002,Arabic,Arabic,0.680851,ما المدينة المصرية التي يوجد فيها Nile Pearl Hotel؟,كم عدد النجوم التي يصنف بها Nile Pearl Hotel؟
FAQ0577,FAQ0203,INT001,INT007,Arabic,Arabic,0.678571,ما المدينة المصرية التي يوجد فيها Nile Pearl Hotel؟,ما المتطلبات اللازمة لطلب تسجيل خروج متأخر في Nile Pearl Hotel؟
FAQ0578,FAQ0008,INT001,INT001,English,English,0.728395,I am arranging a trip to Egypt. Which city should I travel to for the Nile Pearl Hotel?,"For a trip to Egypt, which part of Cairo should I look for Nile Pearl Hotel in?"
FAQ0578,FAQ0514,INT001,INT001,English,English,0.674847,I am arranging a trip to Egypt. Which city should I travel to for the Nile Pearl Hotel?,Which Egyptian city should I travel to if I am staying at the Nile Pearl Hotel?
FAQ0578,FAQ0386,INT001,INT001,English,English,0.619718,I am arranging a trip to Egypt. Which city should I travel to for the Nile Pearl Hotel?,In which part of Cairo should I look for Nile Pearl Hotel?
FAQ0579,FAQ0017,INT001,INT001,French,French,0.761905,Où puis-je trouver le Nile Pearl Hotel en Égypte ?,Où se trouve l'hôtel Nile Pearl Hotel?
FAQ0579,FAQ0451,INT001,INT001,French,French,0.673684,Où puis-je trouver le Nile Pearl Hotel en Égypte ?,Dans quelle ville se trouve le Nile Pearl Hotel ?
FAQ0579,FAQ0419,INT001,INT001,French,French,0.672566,Où puis-je trouver le Nile Pearl Hotel en Égypte ?,Comment puis-je situer le Nile Pearl Hotel dans la ville du Caire ?
FAQ0580,FAQ0484,INT001,INT001,Russian,Russian,0.79646,Какой город Египта является местом расположения Nile Pearl Hotel?,В каком городе Египта расположен Nile Pearl Hotel?
FAQ0580,FAQ0029,INT001,INT001,Russian,Russian,0.714286,Какой город Египта является местом расположения Nile Pearl Hotel?,В какой части города расположен Nile Pearl Hotel?
FAQ0580,FAQ0420,INT001,INT001,Russian,Russian,0.677966,Какой город Египта является местом расположения Nile Pearl Hotel?,Как определить местоположение Nile Pearl Hotel в Каире?
FAQ0581,FAQ0481,INT002,INT001,Arabic,Arabic,0.740157,أبحث عن فندق خمس نجوم في القاهرة، فهل Nile Pearl Hotel من هذه الفئة؟,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟
FAQ0581,FAQ0545,INT002,INT001,Arabic,Arabic,0.68254,أبحث عن فندق خمس نجوم في القاهرة، فهل Nile Pearl Hotel من هذه الفئة؟,أرغب في حجز إقامة في القاهرة، فهل Nile Pearl Hotel موجود هناك؟
FAQ0581,FAQ0010,INT002,INT001,Arabic,Arabic,0.537815,أبحث عن فندق خمس نجوم في القاهرة، فهل Nile Pearl Hotel من هذه الفئة؟,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟
FAQ0582,FAQ0034,INT002,INT002,English,English,0.762887,What star category does the Nile Pearl Hotel belong to?,What star rating does Nile Pearl Hotel have?
FAQ0582,FAQ0358,INT002,INT002,English,English,0.743363,What star category does the Nile Pearl Hotel belong to?,What category does Nile Pearl Hotel fall under among hotels?
FAQ0582,FAQ0454,INT002,INT002,English,English,0.740741,What star category does the Nile Pearl Hotel belong to?,I am comparing hotels in Cairo. What star category does Nile Pearl Hotel belong to?
FAQ0583,FAQ0326,INT002,INT002,French,English,0.542636,Je souhaite un hôtel cinq étoiles : le Nile Pearl Hotel répond-il à ce critère ?,What hotel classification does Nile Pearl Hotel have?
FAQ0583,FAQ0419,INT002,INT001,French,French,0.521127,Je souhaite un hôtel cinq étoiles : le Nile Pearl Hotel répond-il à ce critère ?,Comment puis-je situer le Nile Pearl Hotel dans la ville du Caire ?
FAQ0583,FAQ0050,INT002,INT002,French,French,0.521008,Je souhaite un hôtel cinq étoiles : le Nile Pearl Hotel répond-il à ce critère ?,Combien d'étoiles a l'hôtel Nile Pearl Hotel?
FAQ0584,FAQ0061,INT002,INT002,Russian,Russian,0.747826,К какой категории по числу звёзд относится Nile Pearl Hotel?,К какому уровню или категории относится Nile Pearl Hotel?
FAQ0584,FAQ0059,INT002,INT002,Russian,Russian,0.660377,К какой категории по числу звёзд относится Nile Pearl Hotel?,В каком классе отеля находится Nile Pearl Hotel?
FAQ0584,FAQ0029,INT002,INT001,Russian,Russian,0.654206,К какой категории по числу звёзд относится Nile Pearl Hotel?,В какой части города расположен Nile Pearl Hotel?
FAQ0585,FAQ0393,INT003,INT003,Arabic,Arabic,0.891089,هل يمكنني التواصل مع مكتب الاستقبال في أي وقت خلال اليوم؟,هل يمكنني التواصل مع مكتب الاستقبال في أي وقت؟
FAQ0585,FAQ0297,INT003,INT003,Arabic,Arabic,0.810811,هل يمكنني التواصل مع مكتب الاستقبال في أي وقت خلال اليوم؟,هل يمكنني الوصول إلى موظفي الاستقبال في أي وقت من اليوم؟
FAQ0585,FAQ0489,INT003,INT003,Arabic,Arabic,0.727273,هل يمكنني التواصل مع مكتب الاستقبال في أي وقت خلال اليوم؟,هل يمكن التواصل مع استقبال الفندق في أي وقت؟
FAQ0586,FAQ0330,INT003,INT003,English,English,0.638037,"If I need assistance late at night, can I still contact the reception desk?","If I need assistance at the hotel late at night, will a reception staff member be available?"
FAQ0586,FAQ0490,INT003,INT003,English,English,0.62069,"If I need assistance late at night, can I still contact the reception desk?","If I need help late at night, will the hotel reception still be available?"
FAQ0586,FAQ0458,INT003,INT003,English,English,0.609272,"If I need assistance late at night, can I still contact the reception desk?","If I need help at the front desk late at night, will the reception be available?"
FAQ0587,FAQ0459,INT003,INT003,French,French,0.821429,La réception est-elle disponible à toute heure ?,La réception du Nile Pearl Hotel est-elle disponible à toute heure ?
FAQ0587,FAQ0363,INT003,INT003,French,French,0.62069,La réception est-elle disponible à toute heure ?,La réception reste-t-elle accessible aux clients pendant toute la nuit ?
FAQ0587,FAQ0491,INT003,INT003,French,French,0.611111,La réception est-elle disponible à toute heure ?,Peut-on joindre la réception du Nile Pearl Hotel à toute heure ?
FAQ0588,FAQ0332,INT003,INT003,Russian,Russian,0.763636,"Если мне понадобится помощь ночью, будет ли стойка регистрации доступна?","Если мне понадобится помощь в отеле поздно ночью, будет ли сотрудник стойки регистрации на месте?"
FAQ0588,FAQ0460,INT003,INT003,Russian,Russian,0.761905,"Если мне понадобится помощь ночью, будет ли стойка регистрации доступна?","Если мне понадобится помощь ночью, смогу ли я обратиться на стойку регистрации?"
FAQ0588,FAQ0428,INT003,INT003,Russian,Russian,0.556291,"Если мне понадобится помощь ночью, будет ли стойка регистрации доступна?","Если я приеду в отель очень поздно, будет ли сотрудник стойки регистрации на месте?"
FAQ0589,FAQ0269,INT004,INT004,Arabic,Arabic,0.758621,ما هو وقت بدء تسجيل الوصول المعتاد في الفندق؟,ما هو الوقت المحدد لتسجيل الوصول إلى الفندق؟
FAQ0589,FAQ0493,INT004,INT004,Arabic,Arabic,0.746988,ما هو وقت بدء تسجيل الوصول المعتاد في الفندق؟,ما موعد بدء تسجيل الوصول المعتاد للضيوف؟
FAQ0589,FAQ0429,INT004,INT004,Arabic,Arabic,0.707317,ما هو وقت بدء تسجيل الوصول المعتاد في الفندق؟,متى يبدأ تسجيل الوصول للضيوف في الفندق؟
FAQ0590,FAQ0494,INT004,INT004,English,English,0.630137,My arrival is planned for the afternoon. What time does normal check-in begin?,"If I arrive on my check-in day, at what time does normal check-in start?"
FAQ0590,FAQ0366,INT004,INT004,English,English,0.628205,My arrival is planned for the afternoon. What time does normal check-in begin?,"If I arrive at the hotel in the afternoon, from what time can I start checking in?"
FAQ0590,FAQ0526,INT004,INT004,English,English,0.561151,My arrival is planned for the afternoon. What time does normal check-in begin?,At what time does the normal check-in period begin at the hotel?
FAQ0591,FAQ0495,INT004,INT004,French,French,0.653061,À partir de quelle heure puis-je effectuer l'enregistrement normal ?,"Si j'arrive le jour prévu, à partir de quelle heure puis-je normalement m'enregistrer ?"
FAQ0591,FAQ0114,INT004,INT004,French,French,0.640625,À partir de quelle heure puis-je effectuer l'enregistrement normal ?,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?
FAQ0591,FAQ0118,INT004,INT004,French,French,0.640523,À partir de quelle heure puis-je effectuer l'enregistrement normal ?,À quelle heure les clients peuvent-ils effectuer leur enregistrement au Nile Pearl Hotel?
FAQ0592,FAQ0528,INT004,INT004,Russian,Russian,0.647619,Во сколько можно пройти обычную регистрацию заезда?,Во сколько обычно начинается регистрация заезда в отеле?
FAQ0592,FAQ0400,INT004,INT004,Russian,Russian,0.566038,Во сколько можно пройти обычную регистрацию заезда?,С какого часа гостям доступна обычная регистрация заезда?
FAQ0592,FAQ0564,INT004,INT005,Russian,Russian,0.56,Во сколько можно пройти обычную регистрацию заезда?,Во сколько наступает обычное время выезда из отеля?
FAQ0593,FAQ0561,INT005,INT005,Arabic,Arabic,0.714286,متى يجب عادةً تسجيل المغادرة من الغرفة؟,متى يحين موعد تسجيل المغادرة المعتاد من الفندق؟
FAQ0593,FAQ0273,INT005,INT005,Arabic,Arabic,0.674699,متى يجب عادةً تسجيل المغادرة من الغرفة؟,ما هو الوقت المعتاد لتسجيل المغادرة من الفندق؟
