faq_id,intent_id,intent_name,category,language,question_type,difficulty,question,answer,ground_truth,source
FAQ0065,INT003,reception_availability,Hotel Information,English,Direct,Easy,What are the operating hours for the reception at Nile Pearl Hotel?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0066,INT003,reception_availability,Hotel Information,English,Direct,Easy,What are the hours of operation for the reception desk at Nile Pearl Hotel?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0067,INT003,reception_availability,Hotel Information,English,Direct,Easy,What are the availability hours for the reception desk at Nile Pearl Hotel?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0068,INT003,reception_availability,Hotel Information,English,Paraphrased,Easy,How can I contact the reception at Nile Pearl Hotel at any time?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0069,INT003,reception_availability,Hotel Information,English,Paraphrased,Easy,"If you need assistance at the reception desk at Nile Pearl Hotel anytime, what should you know about their operating hours?",Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0070,INT003,reception_availability,Hotel Information,English,Paraphrased,Easy,"If you need to speak to someone at Nile Pearl Hotel anytime, what are their reception hours?",Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0071,INT003,reception_availability,Hotel Information,English,Scenario,Easy,"If you need to check in or out at any time of the day, what are the reception hours at Nile Pearl Hotel?",Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0072,INT003,reception_availability,Hotel Information,English,Scenario,Easy,"If you need to reach the reception at Nile Pearl Hotel at 3 AM, would they be available?",Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0073,INT003,reception_availability,Hotel Information,Arabic,Direct,Easy,إذا كنت تحتاج إلى التواصل مع مكتب الاستقبال في Nile Pearl Hotel في أي وقت من اليوم، فما هي ساعات عملهم؟,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0074,INT003,reception_availability,Hotel Information,Arabic,Direct,Easy,إذا كنت في Nile Pearl Hotel وتحتاج إلى المساعدة في أي وقت، هل يمكنك التواصل مع مكتب الاستقبال على مدار الساعة؟,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0075,INT003,reception_availability,Hotel Information,Arabic,Direct,Easy,إذا كنت في Nile Pearl Hotel وتحتاج إلى مساعدة فورية في أي وقت من اليوم، هل يمكنني الاتصال بمكتب الاستقبال؟,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0076,INT003,reception_availability,Hotel Information,Arabic,Paraphrased,Easy,في حالة الحاجة إلى التواصل مع مكتب الاستقبال في Nile Pearl Hotel في منتصف الليل، هل سيكونون متاحين؟,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
FAQ0077,INT003,reception_availability,Hotel Information,Arabic,Paraphrased,Easy,في حالة الطوارئ في Nile Pearl Hotel، هل يمكنني الاتصال بمكتب الاستقبال في أي وقت؟,Hotel reception operates 24/7.,Hotel reception operates 24/7.,hotel_information.txt
