faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0449,INT001,Arabic,Scenario,إذا كنت أخطط للإقامة في القاهرة، ففي أي مدينة يقع Nile Pearl Hotel؟,valid,hotel_location,يقع Nile Pearl Hotel في القاهرة، مصر.,Hotel Information,hotel_information.txt,0,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0450,INT001,English,Paraphrased,Which city is home to the Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0451,INT001,French,Direct,Dans quelle ville se trouve le Nile Pearl Hotel ?,valid,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",Hotel Information,hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0452,INT001,Russian,Scenario,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",valid,hotel_location,"Nile Pearl Hotel находится в Каире, Египет.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel находится в Каире, Египет."
FAQ0453,INT002,Arabic,Paraphrased,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,valid,hotel_category,Nile Pearl Hotel هو فندق من فئة 5 نجوم.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel هو فندق من فئة 5 نجوم.
FAQ0454,INT002,English,Scenario,I am comparing hotels in Cairo. What star category does Nile Pearl Hotel belong to?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0455,INT002,French,Paraphrased,Quelle est la catégorie du Nile Pearl Hotel ?,valid,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,Hotel Information,hotel_information.txt,0,Easy,Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0456,INT002,Russian,Direct,Сколько звёзд у Nile Pearl Hotel?,valid,hotel_category,Nile Pearl Hotel — пятизвёздочный отель.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel — пятизвёздочный отель.
FAQ0457,INT003,Arabic,Paraphrased,هل تعمل خدمة الاستقبال في Nile Pearl Hotel طوال اليوم؟,valid,reception_availability,تعمل خدمة استقبال الفندق على مدار 24 ساعة طوال أيام الأسبوع.,Hotel Information,hotel_information.txt,0,Easy,نعم، تعمل خدمة استقبال الفندق على مدار 24 ساعة طوال أيام الأسبوع.
FAQ0458,INT003,English,Scenario,"If I need help at the front desk late at night, will the reception be available?",valid,reception_availability,Hotel reception operates 24/7.,Hotel Information,hotel_information.txt,0,Easy,Yes. Hotel reception operates 24/7.
FAQ0459,INT003,French,Direct,La réception du Nile Pearl Hotel est-elle disponible à toute heure ?,valid,reception_availability,La réception de l'hôtel est ouverte 24h/24 et 7j/7.,Hotel Information,hotel_information.txt,0,Easy,Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.
FAQ0460,INT003,Russian,Scenario,"Если мне понадобится помощь ночью, смогу ли я обратиться на стойку регистрации?",valid,reception_availability,"Стойка регистрации отеля работает 24 часа в сутки, 7 дней в неделю.",Hotel Information,hotel_information.txt,0,Easy,"Да. Стойка регистрации отеля работает 24 часа в сутки, 7 дней в неделю."
FAQ0461,INT004,Arabic,Direct,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,valid,check_in_time,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,Check-in / Check-out,check_in_check_out.txt,0,Easy,يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel الساعة 3:00 مساءً.
FAQ0462,INT004,English,Paraphrased,From what time can guests normally check in at Nile Pearl Hotel?,valid,check_in_time,Standard check-in time is 3:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Guests can normally check in at Nile Pearl Hotel starting at 3:00 PM.
FAQ0463,INT004,French,Scenario,"Si j'arrive à l'hôtel le jour de mon séjour, à partir de quelle heure puis-je normalement m'enregistrer ?",valid,check_in_time,L'heure normale d'enregistrement est 15h00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Vous pouvez normalement vous enregistrer à partir de 15h00.
FAQ0464,INT004,Russian,Paraphrased,Во сколько начинается стандартное заселение в Nile Pearl Hotel?,valid,check_in_time,Стандартное время заезда — 15:00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Стандартное время заезда в Nile Pearl Hotel — 15:00.
FAQ0465,INT005,Arabic,Paraphrased,ما الموعد المعتاد الذي يجب فيه إخلاء الغرفة عند المغادرة؟,valid,check_out_time,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,Check-in / Check-out,check_in_check_out.txt,0,Easy,يجب إخلاء الغرفة عند تسجيل المغادرة بحلول الساعة 12:00 ظهرًا.
FAQ0466,INT005,English,Direct,What is the standard check-out time at Nile Pearl Hotel?,valid,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,The standard check-out time at Nile Pearl Hotel is 12:00 PM.
FAQ0467,INT005,French,Scenario,"Si je termine mon séjour au Nile Pearl Hotel, à quelle heure dois-je libérer ma chambre ?",valid,check_out_time,L'heure normale de départ est 12h00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Vous devez libérer votre chambre à 12h00.
FAQ0468,INT005,Russian,Paraphrased,К какому времени нужно освободить номер в Nile Pearl Hotel?,valid,check_out_time,Стандартное время выезда — 12:00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Номер в Nile Pearl Hotel нужно освободить к 12:00.
FAQ0469,INT006,Arabic,Scenario,إذا وصلت إلى Nile Pearl Hotel قبل الموعد المعتاد، هل يمكنني طلب تسجيل الوصول المبكر؟,valid,early_check_in,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.,Check-in / Check-out,check_in_check_out.txt,0,Medium,يمكن طلب تسجيل الوصول المبكر، لكنه يعتمد على توفر الغرفة وموافقة الفندق.
FAQ0470,INT006,English,Paraphrased,Can I request an early check-in before the normal check-in time?,valid,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Yes, early check-in can be requested, but it is subject to room availability and hotel approval."
FAQ0471,INT006,French,Direct,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel ?,valid,early_check_in,L'enregistrement anticipé dépend de la disponibilité des chambres et de l'approbation de l'hôtel.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Oui, vous pouvez le demander, mais il dépend de la disponibilité des chambres et de l'approbation de l'hôtel."
FAQ0472,INT006,Russian,Scenario,"Если я приеду раньше стандартного времени, могу ли я попросить о раннем заселении?",valid,early_check_in,Ранний заезд зависит от наличия свободного номера и одобрения отеля.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Да, ранний заезд можно запросить, но он зависит от наличия свободного номера и одобрения отеля."
FAQ0473,INT007,Arabic,Direct,هل يمكنني طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel؟,valid,late_check_out,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر وقد تترتب رسوم إضافية.,Check-in / Check-out,check_in_check_out.txt,0,Medium,يمكن طلب تسجيل المغادرة المتأخر، لكنه يعتمد على التوافر وقد تترتب رسوم إضافية.
FAQ0474,INT007,English,Scenario,"If I need to leave later than the standard time, can I request a late check-out?",valid,late_check_out,Late check-out is subject to availability and may incur an additional fee.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Late check-out can be requested, but it is subject to availability and may incur an additional fee."
FAQ0475,INT007,French,Paraphrased,Le départ tardif est-il possible au Nile Pearl Hotel ?,valid,late_check_out,Le départ tardif dépend de la disponibilité et peut entraîner des frais supplémentaires.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Le départ tardif peut être demandé, mais il dépend de la disponibilité et peut entraîner des frais supplémentaires."
FAQ0476,INT007,Russian,Scenario,"Если мне нужно задержаться в номере после обычного времени выезда, могу ли я запросить поздний выезд?",valid,late_check_out,Поздний выезд зависит от наличия свободных мест и может повлечь дополнительную плату.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Поздний выезд можно запросить, но он зависит от наличия свободных мест и может повлечь дополнительную плату."
FAQ0477,INT008,Arabic,Scenario,عند الوصول إلى Nile Pearl Hotel، ماذا أحتاج لإتمام إجراءات تسجيل الوصول؟,valid,identification_required,يجب على الضيوف تقديم وثيقة هوية سارية أثناء تسجيل الوصول، ولا تحدد قاعدة المعرفة الحالية الأنواع المقبولة من وثائق الهوية.,Identification,identification_policy.txt,0,Medium,يجب تقديم وثيقة هوية سارية لإتمام تسجيل الوصول. ولا تحدد قاعدة المعرفة الحالية أنواع وثائق الهوية المقبولة بدقة.
FAQ0478,INT008,English,Paraphrased,What identification is required to complete check-in at Nile Pearl Hotel?,valid,identification_required,"Guests are required to provide valid identification during check-in, and the current knowledge base does not specify the exact accepted document types.",Identification,identification_policy.txt,0,Medium,Guests must provide valid identification to complete check-in. The current knowledge base does not specify the exact accepted document types.
FAQ0479,INT008,French,Direct,Un document d'identité est-il nécessaire pour effectuer l'enregistrement au Nile Pearl Hotel ?,valid,identification_required,"Les clients doivent présenter une pièce d'identité valide lors de l'enregistrement, et la base de connaissances actuelle ne précise pas les types exacts de documents acceptés.",Identification,identification_policy.txt,0,Medium,"Oui, une pièce d'identité valide est requise pour effectuer l'enregistrement. La base de connaissances actuelle ne précise pas les types exacts de documents acceptés."
FAQ0480,INT008,Russian,Paraphrased,Нужно ли предъявлять действующее удостоверение личности при заселении в Nile Pearl Hotel?,valid,identification_required,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.",Identification,identification_policy.txt,0,Medium,"Да, при заселении необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов."
