faq_id,language,question,ground_truth,answer,source,gt_fee_hits,answer_fee_hits,gt_fee_found,answer_fee_found
FAQ0193,English,"Can I arrange for late check-out at Nile Pearl Hotel, and if so, what conditions apply?",Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out can be arranged at Nile Pearl Hotel if room availability permits. Please note that an additional fee may apply.",check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bfee(s)?\s+may\s+apply\b | \bfee\b,True,True
FAQ0194,English,"Can I request late check-out at Nile Pearl Hotel, and if so, what should I expect?",Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is available at Nile Pearl Hotel, subject to room availability. Please note that an additional fee may apply. We will do our best to accommodate your request.",check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bfee(s)?\s+may\s+apply\b | \bfee\b,True,True
FAQ0195,English,"Is late check-out available at Nile Pearl Hotel, and if so, what conditions must be met?",Late check-out is subject to availability and may incur an additional fee.,"Late check-out is available at Nile Pearl Hotel, subject to availability, and may incur an additional fee.",check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,True,True
FAQ0196,English,"Is late check-out possible at Nile Pearl Hotel, and what costs might I incur?",Late check-out is subject to availability and may incur an additional fee.,Late check-out is subject to availability and may incur an additional fee. Please inquire at the front desk upon check-out for any applicable charges.,check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,True,True
FAQ0197,English,"Can I get a late check-out at Nile Pearl Hotel, and what factors determine its availability?",Late check-out is subject to availability and may incur an additional fee.,Late check-out at Nile Pearl Hotel is subject to availability and may incur an additional fee. Please inquire at the front desk upon check-in for availability.,check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,True,True
FAQ0198,English,"Can I have a late check-out at Nile Pearl Hotel, and if so, will there be any additional charges?",Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is available at Nile Pearl Hotel, subject to availability. Please note that an additional fee may apply. Thank you for your understanding.",check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bfee(s)?\s+may\s+apply\b | \bfee\b,True,True
FAQ0199,English,"If I need to stay at Nile Pearl Hotel longer because of a late departure, can I request a late check-out and will there be an additional fee?",Late check-out is subject to availability and may incur an additional fee.,"Certainly, late check-out is subject to availability and may incur an additional fee. Please let us know your requirements, and we will do our best to accommodate you.",check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,True,True
FAQ0200,English,"Can I arrange for my luggage to be stored at Nile Pearl Hotel after check-out, and if so, are there any additional charges for late check-out?",Late check-out is subject to availability and may incur an additional fee.,"Certainly, you can arrange for your luggage to be stored at Nile Pearl Hotel after check-out. However, late check-out may incur an additional fee, subject to availability. Please let us know your requirements, and we will be happy to assist you.",check_in_check_out.txt,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,\badditional\s+fee(s)?\b | \bmay\s+incur\b.*\bfee\b | \bfee\b,True,True
FAQ0201,Arabic,هل يمكنني الاحتفاظ بالغرفة لفترة أطول بعد موعد تسجيل الخروج في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,check_in_check_out.txt,,مصاريف | اضافي\w*,False,True
FAQ0202,Arabic,هل يمكنني طلب تسجيل خروج متأخر في Nile Pearl Hotel، وما الشروط المطلوبة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
