faq_id,language,question,ground_truth,answer,source,gt_fee_hits,answer_fee_hits,gt_fee_found,answer_fee_found
FAQ0201,Arabic,هل يمكنني الاحتفاظ بالغرفة لفترة أطول بعد موعد تسجيل الخروج في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,check_in_check_out.txt,,مصاريف | اضافي\w*,False,True
FAQ0202,Arabic,هل يمكنني طلب تسجيل خروج متأخر في Nile Pearl Hotel، وما الشروط المطلوبة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0203,Arabic,ما المتطلبات اللازمة لطلب تسجيل خروج متأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0204,Arabic,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وما العوامل التي تحدد إمكانية ذلك؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0205,Arabic,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وهل توجد رسوم إضافية؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0206,Arabic,ما الشروط التي قد تحدد الموافقة على تسجيل الخروج المتأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0207,Arabic,إذا كانت لدي رحلة متأخرة في اليوم التالي، هل يمكنني طلب تسجيل خروج متأخر من Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0208,Arabic,إذا كانت رحلتي في وقت متأخر من اليوم، هل يمكنني الحصول على تسجيل خروج متأخر من Nile Pearl Hotel، وهل توجد رسوم إضافية؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt,,رسوم | اضافي\w*,False,True
FAQ0209,French,"Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",check_in_check_out.txt,,\bfrais\b | \bfactur[eé]\w*\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0210,French,Est-il possible de quitter la chambre plus tard que l'heure normale au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0211,French,Quelles conditions faut-il remplir pour bénéficier d'un départ tardif au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0212,French,"Est-ce que je peux bénéficier d'un départ tardif au Nile Pearl Hotel, et quels éléments déterminent sa disponibilité?",Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, un départ tardif est possible selon la disponibilité, mais il peut engendrer des frais supplémentaires.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0213,French,"Est-ce que je peux avoir un décalage pour le départ tardif au Nile Pearl Hotel, et s'il y a des frais supplémentaires?",Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, un décalage pour un départ tardif est possible selon la disponibilité, mais peut engendrer des frais supplémentaires.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0214,French,"Est-ce que je peux obtenir un séjour prolongé ou un départ tardif au Nile Pearl Hotel, et si c'est le cas, quelles frais supplémentaires pourrais-je encourir?",Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez obtenir un séjour prolongé ou un départ tardif au Nile Pearl Hotel, selon la disponibilité. Cela peut toutefois engendrer des frais supplémentaires.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0215,French,"Si je souhaite prolonger mon séjour au Nile Pearl Hotel, puis-je bénéficier d'un départ tardif et quels frais supplémentaires dois-je prévoir?",Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0216,French,"Si je dois quitter le Nile Pearl Hotel plus tard que prévu, puis-je demander un départ tardif et quelles règles dois-je respecter?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt,,\bfrais\b | \bsuppl[eé]mentair\w*\b,False,True
FAQ0217,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и если да, что мне нужно знать?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel при наличии свободных номеров, но это может быть с дополнительной оплатой. Пожалуйста, уточните этот вопрос за день до планируемого позднего выезда.",check_in_check_out.txt,,плат\w* | оплат\w* | дополнительн\w*,False,True
FAQ0218,Russian,"Могу ли я получить поздний выезд из Nile Pearl Hotel, и под какие условия это возможно?",Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,check_in_check_out.txt,,плат\w* | дополнительн\w*,False,True
FAQ0219,Russian,Dans quelles situations un départ après l'heure normale peut-il être accordé ?,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt,,плат\w* | оплат\w* | дополнительн\w*,False,True
FAQ0220,Russian,Quelles démarches faut-il suivre pour demander un départ tardif ?,Late check-out is subject to availability and may incur an additional fee.,Поздний выезд из Nile Pearl Hotel возможен при наличии свободных номеров и может потребовать дополнительную плату.,check_in_check_out.txt,,плат\w* | дополнительн\w*,False,True
FAQ0221,Russian,"Как мне можно получить поздний выезд из Nile Pearl Hotel, и на какие дополнительные условия это может бытьdependent?",Late check-out is subject to availability and may incur an additional fee.,"Чтобы получить поздний выезд из Nile Pearl Hotel, необходимо уточнить наличие мест и возможные дополнительные расходы. Поздний выезд предоставляется при наличии свободных номеров и может потребовать дополнительную плату.",check_in_check_out.txt,,плат\w* | дополнительн\w*,False,True
