faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0737,INT001,English,Direct,Where is Nile Pearl Hotel located?,generated,hotel_location,"Cairo, Egypt.",hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,"Cairo, Egypt."
FAQ0738,INT001,Arabic,Direct,أين يقع فندق نايل بيرل؟,generated,hotel_location,يقع فندق نايل بيرل في القاهرة، مصر.,hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,يقع فندق نايل بيرل في القاهرة، مصر.
FAQ0739,INT001,French,Paraphrased,Où se trouve le Nile Pearl Hotel ?,generated,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0740,INT001,Russian,Scenario,Где находится отель Nile Pearl?,generated,hotel_location,"Отель Nile Pearl находится в Каире, Египет.",hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,"Отель Nile Pearl находится в Каире, Египет."
FAQ0741,INT002,English,Direct,What category is Nile Pearl Hotel?,generated,hotel_category,Nile Pearl Hotel is a 5-Star Hotel.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-Star Hotel.
FAQ0742,INT002,Arabic,Direct,ما هي فئة فندق نايل بيرل؟,generated,hotel_category,فندق نايل بيرل هو فندق 5 نجوم.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,فندق نايل بيرل هو فندق 5 نجوم.
FAQ0743,INT002,French,Paraphrased,Quelle est la catégorie du Nile Pearl Hotel ?,generated,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0744,INT002,Russian,Scenario,Какой категории отель Nile Pearl?,generated,hotel_category,Nile Pearl Hotel — пятизвездочный отель.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel — пятизвездочный отель.
FAQ0745,INT003,English,Direct,Is the hotel reception available 24/7?,generated,reception_availability,Yes. Hotel reception operates 24/7.,reception_availability,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Yes. Hotel reception operates 24/7.
FAQ0746,INT003,Arabic,Direct,هل مكتب الاستقبال متاح على مدار الساعة؟,generated,reception_availability,نعم. يعمل مكتب الاستقبال في الفندق على مدار 24 ساعة طوال أيام الأسبوع.,reception_availability,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,نعم. يعمل مكتب الاستقبال في الفندق على مدار 24 ساعة طوال أيام الأسبوع.
FAQ0747,INT003,French,Paraphrased,La réception de l'hôtel est-elle ouverte 24h/24 et 7j/7 ?,generated,reception_availability,Oui. La réception de l'hôtel fonctionne 24h/24 et 7j/7.,reception_availability,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Oui. La réception de l'hôtel fonctionne 24h/24 et 7j/7.
FAQ0748,INT003,Russian,Scenario,Работает ли стойка регистрации круглосуточно?,generated,reception_availability,Да. Стойка регистрации отеля работает круглосуточно.,reception_availability,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Да. Стойка регистрации отеля работает круглосуточно.
FAQ0749,INT004,English,Direct,What time is standard check-in?,generated,check_in_time,Standard check-in time is 3:00 PM.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Standard check-in time is 3:00 PM.
FAQ0750,INT004,Arabic,Direct,ما هو وقت تسجيل الوصول المعتاد؟,generated,check_in_time,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.
FAQ0751,INT004,French,Paraphrased,À quelle heure est l'enregistrement standard ?,generated,check_in_time,L'heure d'enregistrement standard est 15h00.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,L'heure d'enregistrement standard est 15h00.
FAQ0752,INT004,Russian,Scenario,Во сколько начинается стандартная регистрация заезда?,generated,check_in_time,Стандартное время заезда — 15:00.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Стандартное время заезда — 15:00.
FAQ0753,INT005,English,Direct,What time is standard check-out?,generated,check_out_time,Standard check-out time is 12:00 PM.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Standard check-out time is 12:00 PM.
FAQ0754,INT005,Arabic,Direct,ما هو وقت تسجيل المغادرة المعتاد؟,generated,check_out_time,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.
FAQ0755,INT005,French,Paraphrased,À quelle heure est le départ standard ?,generated,check_out_time,L'heure de départ standard est 12h00.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,L'heure de départ standard est 12h00.
FAQ0756,INT005,Russian,Scenario,Во сколько происходит стандартная регистрация выезда?,generated,check_out_time,Стандартное время выезда — 12:00.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Стандартное время выезда — 12:00.
