faq_id,intent,language,answer,answer_availability,answer_approval,answer_fee,answer_identification
FAQ0169,INT006,Arabic,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,False,True,,
FAQ0170,INT006,Arabic,نعم، يُسمح بتسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توافر الغرف وموافقة الفندق.,False,True,,
FAQ0171,INT006,Arabic,نعم، يمكن للضيوف تسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة عليها من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,False,True,,
FAQ0173,INT006,Arabic,نعم، يمكن الوصول إلى الفندق وتسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,False,True,,
FAQ0174,INT006,Arabic,نعم، يمكنكم الاستفسار عن تسجيل الوصول المبكر في Nile Pearl Hotel، حيث يعتمد ذلك على توفر الغرف وموافقة الفندق.,False,True,,
FAQ0175,INT006,Arabic,نعم، يمكن للفندق ترتيب دخول الغرفة مبكرًا بناءً على توافر الغرف وموافقة الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,False,True,,
FAQ0180,INT006,French,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,False,True,,
FAQ0185,INT006,Russian,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0186,INT006,Russian,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0190,INT006,Russian,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0201,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,,False,
FAQ0202,INT007,Arabic,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,False,,True,
FAQ0203,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,False,,True,
FAQ0204,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,False,,True,
FAQ0205,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,False,,True,
FAQ0206,INT007,Arabic,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,False,,True,
FAQ0207,INT007,Arabic,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,False,,True,
FAQ0208,INT007,Arabic,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,False,,True,
FAQ0209,INT007,French,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",False,,False,
FAQ0210,INT007,French,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
FAQ0211,INT007,French,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
FAQ0215,INT007,French,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",True,,False,
FAQ0216,INT007,French,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
FAQ0219,INT007,Russian,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",False,,True,
FAQ0223,INT007,Russian,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.",False,,True,
FAQ0224,INT007,Russian,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",False,,True,
FAQ0229,INT008,English,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.,,,,False
FAQ0244,INT008,French,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.,,,,False
FAQ0309,INT006,Arabic,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,True,False,,
FAQ0310,INT006,English,Early check-in can be requested and is subject to availability.,True,False,,
FAQ0311,INT006,French,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,True,False,,
FAQ0312,INT006,Russian,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",True,False,,
FAQ0313,INT007,Arabic,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,True,,False,
FAQ0314,INT007,English,Late check-out can be requested and is subject to availability.,True,,False,
FAQ0315,INT007,French,Un départ tardif peut être demandé et dépend de la disponibilité.,True,,False,
FAQ0316,INT007,Russian,"Поздний выезд можно запросить, но он зависит от наличия.",True,,False,
FAQ0341,INT006,Arabic,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,False,True,,
FAQ0344,INT006,Russian,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0345,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,,False,
FAQ0347,INT007,French,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
FAQ0373,INT006,Arabic,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,False,True,,
FAQ0376,INT006,Russian,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0377,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,,False,
FAQ0379,INT007,French,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
FAQ0405,INT006,Arabic,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,False,True,,
FAQ0408,INT006,Russian,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0409,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,,False,
FAQ0411,INT007,French,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
FAQ0437,INT006,Arabic,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,False,True,,
FAQ0440,INT006,Russian,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,True,False,,
FAQ0441,INT007,Arabic,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,False,,False,
FAQ0443,INT007,French,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",True,,False,
