faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0641,INT009,Arabic,Direct,هل يحصل الضيف على تأكيد للحجز بعد إتمام عملية الحجز؟,Active,booking_confirmation,ينبغي تأكيد الحجز بعد تقديم معلومات الحجز المطلوبة وإتمام عملية الحجز.,Booking,02_Hotel_Knowledge/Booking/booking_confirmation.txt,0,Medium,ينبغي تأكيد الحجز بعد تقديم معلومات الحجز المطلوبة وإتمام عملية الحجز.
FAQ0642,INT009,English,Paraphrased,How can I confirm that my hotel reservation has been completed?,Active,booking_confirmation,The reservation should be confirmed after the required booking information has been provided and the reservation process has been completed.,Booking,02_Hotel_Knowledge/Booking/booking_confirmation.txt,0,Medium,The reservation should be confirmed after the required booking information has been provided and the reservation process has been completed.
FAQ0643,INT009,French,Scenario,Je viens de terminer ma réservation. Comment puis-je savoir qu'elle est confirmée ?,Active,booking_confirmation,La réservation doit être confirmée après la fourniture des informations requises et l'achèvement du processus de réservation.,Booking,02_Hotel_Knowledge/Booking/booking_confirmation.txt,0,Medium,La réservation doit être confirmée après la fourniture des informations requises et l'achèvement du processus de réservation.
FAQ0644,INT009,Russian,Direct,Получает ли гость подтверждение после завершения бронирования?,Active,booking_confirmation,Бронирование должно быть подтверждено после предоставления необходимых данных и завершения процесса бронирования.,Booking,02_Hotel_Knowledge/Booking/booking_confirmation.txt,0,Medium,Бронирование должно быть подтверждено после предоставления необходимых данных и завершения процесса бронирования.
FAQ0645,INT010,Arabic,Paraphrased,هل يمكنني طلب تعديل على حجزي الحالي؟,Active,booking_modification,يمكن للضيوف التواصل مع خدمة العملاء لطلب تعديل الحجز، وتخضع التعديلات للتوافر وموافقة الفندق.,Booking,02_Hotel_Knowledge/Booking/booking_modification.txt,0,Medium,يمكن للضيوف التواصل مع خدمة العملاء لطلب تعديل الحجز، وتخضع التعديلات للتوافر وموافقة الفندق.
FAQ0646,INT010,English,Direct,Can I request a change to my existing reservation?,Active,booking_modification,Guests may contact customer service regarding reservation changes. Changes are subject to availability and hotel approval.,Booking,02_Hotel_Knowledge/Booking/booking_modification.txt,0,Medium,Guests may contact customer service regarding reservation changes. Changes are subject to availability and hotel approval.
FAQ0647,INT010,French,Scenario,Je dois modifier ma réservation. Que dois-je faire ?,Active,booking_modification,"Les clients peuvent contacter le service clientèle pour demander une modification, sous réserve de disponibilité et de l'approbation de l'hôtel.",Booking,02_Hotel_Knowledge/Booking/booking_modification.txt,0,Medium,"Les clients peuvent contacter le service clientèle pour demander une modification, sous réserve de disponibilité et de l'approbation de l'hôtel."
FAQ0648,INT010,Russian,Paraphrased,Можно ли изменить данные уже существующего бронирования?,Active,booking_modification,"Гости могут обратиться в службу поддержки для изменения бронирования, но изменения зависят от наличия мест и одобрения отеля.",Booking,02_Hotel_Knowledge/Booking/booking_modification.txt,0,Medium,"Гости могут обратиться в службу поддержки для изменения бронирования, но изменения зависят от наличия мест и одобрения отеля."
FAQ0649,INT011,Arabic,Direct,هل يمكن طلب إلغاء حجز الفندق؟,Active,cancellation_policy,يمكن للضيوف طلب إلغاء حجوزاتهم، ويخضع الإلغاء لشروط الحجز والإلغاء المعمول بها.,Cancellation,02_Hotel_Knowledge/Cancellation/cancellation_policy.txt,0,Medium,يمكن للضيوف طلب إلغاء حجوزاتهم، ويخضع الإلغاء لشروط الحجز والإلغاء المعمول بها.
FAQ0650,INT011,English,Paraphrased,Is it possible to cancel a hotel reservation?,Active,cancellation_policy,"Guests may request cancellation of their reservations, subject to the applicable reservation and cancellation conditions.",Cancellation,02_Hotel_Knowledge/Cancellation/cancellation_policy.txt,0,Medium,"Guests may request cancellation of their reservations, subject to the applicable reservation and cancellation conditions."
FAQ0651,INT011,French,Scenario,Je souhaite annuler ma réservation. Est-ce possible ?,Active,cancellation_policy,"Les clients peuvent demander l'annulation de leur réservation, sous réserve des conditions applicables au séjour.",Cancellation,02_Hotel_Knowledge/Cancellation/cancellation_policy.txt,0,Medium,"Les clients peuvent demander l'annulation de leur réservation, sous réserve des conditions applicables au séjour."
FAQ0652,INT011,Russian,Direct,Можно ли отменить бронирование в отеле?,Active,cancellation_policy,Гости могут запросить отмену бронирования в соответствии с условиями конкретного бронирования и правилами отмены.,Cancellation,02_Hotel_Knowledge/Cancellation/cancellation_policy.txt,0,Medium,Гости могут запросить отмену бронирования в соответствии с условиями конкретного бронирования и правилами отмены.
FAQ0653,INT012,Arabic,Scenario,أريد دفع تكلفة الحجز، ما طرق الدفع التي يقبلها الفندق؟,Active,payment_methods,قاعدة المعرفة الحالية لا تحدد طرق الدفع المقبولة بشكل دقيق، ويمكن للضيف التواصل مع خدمة العملاء لمعرفة طرق الدفع المتاحة حاليًا.,Payment,02_Hotel_Knowledge/Payment/payment_methods.txt,0,Medium,قاعدة المعرفة الحالية لا تحدد طرق الدفع المقبولة بشكل دقيق، ويمكن للضيف التواصل مع خدمة العملاء لمعرفة طرق الدفع المتاحة حاليًا.
FAQ0654,INT012,English,Direct,What payment methods does the hotel accept?,Active,payment_methods,The current hotel knowledge base does not specify the exact accepted payment methods. Guests should contact customer service for current payment information.,Payment,02_Hotel_Knowledge/Payment/payment_methods.txt,0,Medium,The current hotel knowledge base does not specify the exact accepted payment methods. Guests should contact customer service for current payment information.
FAQ0655,INT012,French,Paraphrased,Quels moyens de paiement sont actuellement acceptés par l'hôtel ?,Active,payment_methods,La base de connaissances actuelle ne précise pas les moyens de paiement exacts acceptés. Les clients peuvent contacter le service clientèle pour obtenir cette information.,Payment,02_Hotel_Knowledge/Payment/payment_methods.txt,0,Medium,La base de connaissances actuelle ne précise pas les moyens de paiement exacts acceptés. Les clients peuvent contacter le service clientèle pour obtenir cette information.
FAQ0656,INT012,Russian,Scenario,Я хочу оплатить бронирование. Какие способы оплаты принимает отель?,Active,payment_methods,Текущая база знаний не указывает точные способы оплаты. Гостям рекомендуется обратиться в службу поддержки для получения актуальной информации.,Payment,02_Hotel_Knowledge/Payment/payment_methods.txt,0,Medium,Текущая база знаний не указывает точные способы оплаты. Гостям рекомендуется обратиться в службу поддержки для получения актуальной информации.
FAQ0657,INT013,Arabic,Paraphrased,متى يتم استرداد المبلغ بعد إلغاء الحجز المؤهل للاسترداد؟,Active,refund_policy,لا تحدد قاعدة المعرفة الحالية مدة ثابتة لمعالجة الاسترداد، ويمكن للضيف التواصل مع خدمة العملاء لمعرفة حالة الاسترداد.,Payment,02_Hotel_Knowledge/Payment/refund_policy.txt,0,Medium,لا تحدد قاعدة المعرفة الحالية مدة ثابتة لمعالجة الاسترداد، ويمكن للضيف التواصل مع خدمة العملاء لمعرفة حالة الاسترداد.
FAQ0658,INT013,English,Scenario,My cancelled reservation is refundable. How long will the refund take?,Active,refund_policy,The current hotel knowledge base does not specify a fixed refund processing time. Guests should contact customer service for refund status information.,Payment,02_Hotel_Knowledge/Payment/refund_policy.txt,0,Medium,The current hotel knowledge base does not specify a fixed refund processing time. Guests should contact customer service for refund status information.
FAQ0659,INT013,French,Direct,Quel est le délai de traitement d'un remboursement ?,Active,refund_policy,La base de connaissances actuelle ne précise pas de délai fixe pour le traitement des remboursements.,Payment,02_Hotel_Knowledge/Payment/refund_policy.txt,0,Medium,La base de connaissances actuelle ne précise pas de délai fixe pour le traitement des remboursements.
FAQ0660,INT013,Russian,Paraphrased,Как долго обрабатывается возврат средств?,Active,refund_policy,Текущая база знаний не устанавливает фиксированный срок обработки возврата средств. Для уточнения статуса следует обратиться в службу поддержки.,Payment,02_Hotel_Knowledge/Payment/refund_policy.txt,0,Medium,Текущая база знаний не устанавливает фиксированный срок обработки возврата средств. Для уточнения статуса следует обратиться в службу поддержки.
FAQ0661,INT014,Arabic,Direct,هل الأطفال مرحب بهم في الفندق؟,Active,children_policy,نعم، الأطفال مرحب بهم في الفندق، وتخضع الأسرّة الإضافية أو ترتيبات الإقامة الإضافية لسعة الغرفة والتوافر.,Policies,02_Hotel_Knowledge/Policies/children_policy.txt,0,Medium,نعم، الأطفال مرحب بهم في الفندق، وتخضع الأسرّة الإضافية أو ترتيبات الإقامة الإضافية لسعة الغرفة والتوافر.
FAQ0662,INT014,English,Scenario,I am travelling with children. Are children welcome at the hotel?,Active,children_policy,Children are welcome at the hotel. Extra beds or additional accommodation are subject to room capacity and availability.,Policies,02_Hotel_Knowledge/Policies/children_policy.txt,0,Medium,Children are welcome at the hotel. Extra beds or additional accommodation are subject to room capacity and availability.
FAQ0663,INT014,French,Paraphrased,Les enfants sont-ils autorisés à séjourner dans l'hôtel ?,Active,children_policy,Les enfants sont les bienvenus. Les lits supplémentaires ou les aménagements additionnels dépendent de la capacité et de la disponibilité de la chambre.,Policies,02_Hotel_Knowledge/Policies/children_policy.txt,0,Medium,Les enfants sont les bienvenus. Les lits supplémentaires ou les aménagements additionnels dépendent de la capacité et de la disponibilité de la chambre.
FAQ0664,INT014,Russian,Direct,Разрешено ли проживание детей в отеле?,Active,children_policy,Дети могут проживать в отеле. Дополнительные кровати или размещение зависят от вместимости и наличия свободных мест.,Policies,02_Hotel_Knowledge/Policies/children_policy.txt,0,Medium,Дети могут проживать в отеле. Дополнительные кровати или размещение зависят от вместимости и наличия свободных мест.
FAQ0665,INT015,Arabic,Paraphrased,هل يسمح الفندق باصطحاب الحيوانات الأليفة؟,Active,pet_policy,لا يُسمح بالحيوانات الأليفة داخل الفندق، وينطبق ذلك على غرف الضيوف ومرافق الفندق.,Policies,02_Hotel_Knowledge/Policies/pet_policy.txt,0,Medium,لا يُسمح بالحيوانات الأليفة داخل الفندق، وينطبق ذلك على غرف الضيوف ومرافق الفندق.
FAQ0666,INT015,English,Direct,Are pets allowed inside the hotel?,Active,pet_policy,Pets are not allowed inside the hotel. This policy applies to guest rooms and hotel facilities.,Policies,02_Hotel_Knowledge/Policies/pet_policy.txt,0,Medium,Pets are not allowed inside the hotel. This policy applies to guest rooms and hotel facilities.
FAQ0667,INT015,French,Scenario,Je voyage avec un animal de compagnie. Puis-je l'amener à l'hôtel ?,Active,pet_policy,"Les animaux de compagnie ne sont pas autorisés dans l'hôtel, y compris dans les chambres et les installations.",Policies,02_Hotel_Knowledge/Policies/pet_policy.txt,0,Medium,"Les animaux de compagnie ne sont pas autorisés dans l'hôtel, y compris dans les chambres et les installations."
FAQ0668,INT015,Russian,Paraphrased,Можно ли привезти домашнее животное в отель?,Active,pet_policy,"Домашние животные не допускаются в отель, включая номера и гостиничные помещения.",Policies,02_Hotel_Knowledge/Policies/pet_policy.txt,0,Medium,"Домашние животные не допускаются в отель, включая номера и гостиничные помещения."
