room_id,room_number,floor,room_type_id,status
R101,101,1,RT001,Available
R102,102,1,RT001,Available
R103,103,1,RT001,Occupied
R104,104,1,RT001,Available
R105,105,1,RT001,Available
R106,106,1,RT001,Maintenance
R107,107,1,RT001,Available
R108,108,1,RT001,Available
R109,109,1,RT001,Available
R110,110,1,RT001,Maintenance
R111,111,1,RT001,Available
R112,112,1,RT001,Maintenance
R113,113,1,RT001,Occupied
R114,114,1,RT001,Available
R115,115,1,RT001,Available
R116,116,1,RT001,Available
R117,117,1,RT001,Occupied
R118,118,1,RT001,Available
R119,119,1,RT001,Available
R120,120,1,RT001,Maintenance
R121,121,1,RT002,Available
R122,122,1,RT002,Available
R123,123,1,RT002,Available
R124,124,1,RT002,Occupied
R125,125,1,RT002,Available
R126,126,1,RT002,Available
R127,127,1,RT002,Occupied
R128,128,1,RT002,Available
R129,129,1,RT002,Available
R130,130,1,RT002,Available
R131,131,1,RT002,Available
R132,132,1,RT002,Available
R133,133,1,RT002,Occupied
R134,134,1,RT002,Maintenance
R135,135,1,RT002,Occupied
R136,136,1,RT002,Available
R137,137,1,RT002,Maintenance
R138,138,1,RT002,Available
R139,139,1,RT002,Occupied
R140,140,1,RT002,Available
R141,141,1,RT002,Available
R142,142,1,RT002,Available
R143,143,1,RT002,Available
R144,144,1,RT002,Available
R145,145,1,RT002,Available
R146,146,1,RT002,Available
R147,147,1,RT002,Available
R148,148,1,RT002,Available
R149,149,1,RT002,Available
R150,150,1,RT002,Available
R151,151,1,RT002,Occupied
R152,152,1,RT002,Available
R153,153,1,RT002,Maintenance
R154,154,1,RT002,Maintenance
R155,155,1,RT002,Available
R156,156,1,RT003,Available
R157,157,1,RT003,Available
R158,158,1,RT003,Occupied
R159,159,1,RT003,Available
R160,160,1,RT003,Maintenance
R161,161,1,RT003,Maintenance
R162,162,1,RT003,Occupied
R163,163,1,RT003,Maintenance
R164,164,1,RT003,Available
R165,165,1,RT003,Available
R166,166,1,RT003,Maintenance
R167,167,1,RT003,Occupied
R168,168,1,RT003,Maintenance
R169,169,1,RT003,Occupied
R170,170,1,RT003,Occupied
R171,171,1,RT003,Available
R172,172,1,RT003,Occupied
R173,173,1,RT003,Available
R174,174,1,RT003,Occupied
R175,175,1,RT003,Occupied
R176,176,1,RT003,Available
R177,177,1,RT003,Available
R178,178,1,RT003,Available
R179,179,1,RT003,Available
R180,180,1,RT003,Available
R181,181,1,RT003,Available
R182,182,1,RT003,Occupied
R183,183,1,RT003,Available
R184,184,1,RT003,Available
R185,185,1,RT003,Maintenance
R186,186,1,RT004,Available
R187,187,1,RT004,Available
R188,188,1,RT004,Available
R189,189,1,RT004,Occupied
R190,190,1,RT004,Available
R191,191,1,RT004,Maintenance
R192,192,1,RT004,Available
R193,193,1,RT004,Available
R194,194,1,RT004,Maintenance
R195,195,1,RT004,Available
R196,196,1,RT004,Available
R197,197,1,RT004,Available
R198,198,1,RT004,Occupied
R199,199,1,RT004,Available
R200,200,2,RT004,Available
R201,201,2,RT004,Available
R202,202,2,RT004,Available
R203,203,2,RT004,Available
R204,204,2,RT004,Maintenance
R205,205,2,RT004,Maintenance
R206,206,2,RT004,Available
R207,207,2,RT004,Available
R208,208,2,RT004,Available
R209,209,2,RT004,Available
R210,210,2,RT004,Maintenance
R211,211,2,RT004,Available
R212,212,2,RT004,Available
R213,213,2,RT004,Available
R214,214,2,RT004,Occupied
R215,215,2,RT004,Occupied
R216,216,2,RT005,Available
R217,217,2,RT005,Available
R218,218,2,RT005,Available
R219,219,2,RT005,Occupied
R220,220,2,RT005,Available
R221,221,2,RT005,Available
R222,222,2,RT005,Maintenance
R223,223,2,RT005,Available
R224,224,2,RT005,Available
R225,225,2,RT005,Available
R226,226,2,RT005,Maintenance
R227,227,2,RT005,Occupied
R228,228,2,RT005,Maintenance
R229,229,2,RT005,Available
R230,230,2,RT005,Available
R231,231,2,RT005,Available
R232,232,2,RT005,Available
R233,233,2,RT005,Available
R234,234,2,RT005,Maintenance
R235,235,2,RT005,Available
R236,236,2,RT006,Available
R237,237,2,RT006,Available
R238,238,2,RT006,Available
R239,239,2,RT006,Available
R240,240,2,RT006,Available
R241,241,2,RT006,Maintenance
R242,242,2,RT006,Occupied
R243,243,2,RT006,Occupied
R244,244,2,RT006,Occupied
R245,245,2,RT006,Available
R246,246,2,RT006,Available
R247,247,2,RT006,Available
R248,248,2,RT006,Available
R249,249,2,RT006,Available
R250,250,2,RT006,Available
