booking_id,customer_id,room_id,room_type_id,check_in,check_out,nights,adults,children,booking_status,booking_channel,price_per_night,total_amount
B000001,C000375,R234,RT005,2027-07-20,2027-07-24,4,2,0,Confirmed,Mobile App,4813.77,19255.08
B000002,C004322,R164,RT003,2026-04-18,2026-04-23,5,2,1,Cancelled,Mobile App,3205.14,16025.7
B000003,C009681,R240,RT006,2026-10-26,2026-11-06,11,3,2,Completed,Website,6705.76,73763.36
B000004,C006703,R202,RT004,2026-07-12,2026-07-16,4,1,0,Completed,Booking Platform,4134.8,16539.2
B000005,C002731,R131,RT002,2026-01-29,2026-02-01,3,1,1,Cancelled,Booking Platform,2907.42,8722.26
B000006,C008592,R172,RT003,2027-05-30,2027-06-09,10,1,0,Confirmed,Website,3285.25,32852.5
B000007,C001742,R186,RT004,2027-02-26,2027-03-03,5,1,1,No-show,Mobile App,4276.47,21382.35
B000008,C004225,R103,RT001,2026-09-22,2026-09-28,6,1,1,Completed,Phone,1847.61,11085.66
B000009,C005117,R145,RT002,2025-09-16,2025-09-19,3,2,0,Completed,Booking Platform,2560.78,7682.34
B000010,C002123,R180,RT003,2026-08-26,2026-08-31,5,1,0,Completed,Website,3304.84,16524.2
B000011,C000672,R130,RT002,2027-01-03,2027-01-09,6,1,0,Confirmed,Mobile App,3195.58,19173.48
B000012,C000801,R249,RT006,2026-06-01,2026-06-02,1,4,0,Confirmed,Booking Platform,6853.29,6853.29
B000013,C003696,R228,RT005,2027-08-10,2027-08-19,9,4,0,Confirmed,Mobile App,5134.71,46212.39
B000014,C008915,R171,RT003,2026-07-30,2026-08-02,3,2,0,Confirmed,Mobile App,2512.04,7536.12
B000015,C003372,R228,RT005,2025-11-21,2025-11-30,9,4,1,Confirmed,Booking Platform,4398.78,39589.02
B000016,C007968,R185,RT003,2025-08-26,2025-09-06,11,1,0,Confirmed,Website,2511.85,27630.35
B000017,C003807,R195,RT004,2026-03-07,2026-03-10,3,2,0,Completed,Website,4685.1,14055.3
B000018,C004983,R166,RT003,2027-03-06,2027-03-07,1,2,0,Cancelled,Travel Agent,2925.89,2925.89
B000019,C008137,R186,RT004,2027-01-24,2027-02-03,10,2,0,Completed,Mobile App,4223.57,42235.7
B000020,C007415,R110,RT001,2027-06-16,2027-06-20,4,1,0,Cancelled,Booking Platform,2022.41,8089.64
B000021,C005218,R179,RT003,2025-12-08,2025-12-13,5,2,1,Confirmed,Website,2430.16,12150.8
B000022,C000435,R215,RT004,2025-08-22,2025-09-02,11,1,0,Confirmed,Mobile App,3361.35,36974.85
B000023,C003111,R138,RT002,2027-06-04,2027-06-08,4,2,2,Confirmed,Phone,3152.04,12608.16
B000024,C009137,R137,RT002,2027-08-02,2027-08-14,12,1,0,Confirmed,Booking Platform,2253.15,27037.8
B000025,C008979,R192,RT004,2025-09-11,2025-09-16,5,1,0,Completed,Mobile App,4079.02,20395.1
B000026,C000703,R213,RT004,2025-09-03,2025-09-08,5,3,0,Completed,Website,3432.21,17161.05
