faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts
FAQ0001,INT001,English,Direct,Where is Nile Pearl Hotel located?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0002,INT001,English,Direct,Where is Nile Pearl Hotel situated?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2
FAQ0003,INT001,English,Direct,In which city is Nile Pearl Hotel located?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0004,INT001,English,Paraphrased,In which city can I find the Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0005,INT001,English,Paraphrased,Where can I find the Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0006,INT001,English,Paraphrased,In which major city can Nile Pearl Hotel be found?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0007,INT001,English,Scenario,"While planning my trip to Egypt, I want to make sure I can easily find the Nile Pearl Hotel. Could you tell me which city it is located in?",VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0008,INT001,English,Scenario,"While planning my trip to Egypt, I want to make sure I know where to find Nile Pearl Hotel. Can you tell me which city it's located in?",VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0009,INT001,Arabic,Direct,أين يقع فندق Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0010,INT001,Arabic,Direct,أين يقع Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2
FAQ0011,INT001,Arabic,Direct,dove Nile Pearl Hotel موجود؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,5
FAQ0012,INT001,Arabic,Paraphrased,أين يقع Nile Pearl Hotel في مصر؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0013,INT001,Arabic,Paraphrased,أين توجد Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0014,INT001,Arabic,Paraphrased,أين توجد فندق Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0015,INT001,Arabic,Scenario,أنا مهتم بزيارة مصر وحجز غرفة في Nile Pearl Hotel، فهل يمكنك معرفة موقعه في القاهرة؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0016,INT001,Arabic,Scenario,أنا أخطط لزيارة مصر وقمت بالبحث عن فندق Nile Pearl Hotel، هل يمكنني أن أعرف موقع هذا الفندق في القاهرة؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0017,INT001,French,Direct,Où se trouve l'hôtel Nile Pearl Hotel ?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0018,INT001,French,Direct,Où est située l'hôtel Nile Pearl Hotel ?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0019,INT001,French,Direct,Où se trouve l'hôtel Nile Pearl Hotel ?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6
FAQ0020,INT001,French,Paraphrased,Dans quelle ville est situé l'hôtel Nile Pearl Hotel ?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2
FAQ0021,INT001,French,Paraphrased,Dans quelle ville se trouve l'hôtel Nile Pearl Hotel ?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6
FAQ0022,INT001,French,Paraphrased,Dans quelle ville se trouve l'hôtel Nile Pearl Hotel ?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6
FAQ0023,INT001,French,Scenario,Je prépare ma voyage à Cairo et j'hésite entre plusieurs hôtels. J'aimerais savoir où se trouve l'hôtel Nile Pearl Hotel.,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0024,INT001,French,Scenario,Vous préparez votre voyage à l'étranger et vous vous demandez où se situe l'hôtel Nile Pearl Hotel.,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0025,INT001,Russian,Direct,Где находится Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0026,INT001,Russian,Direct,Где находится отель Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0027,INT001,Russian,Direct,Где расположен отель Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1
FAQ0028,INT001,Russian,Paraphrased,В каком городе находится отель Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2
FAQ0029,INT001,Russian,Paraphrased,В каком городе находится отель Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6
FAQ0030,INT001,Russian,Paraphrased,В каком городе находится отель Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6
FAQ0031,INT001,Russian,Scenario,"Если я планирую поездку в Египет, где находится отель Nile Pearl Hotel?",VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6
FAQ0032,INT001,Russian,Scenario,"Вы планируете поездку в Египет и интересуетесь, в каком городе находится Nile Pearl Hotel.",VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2
