request_id,customer_id,booking_id,request_type,request_text,request_status,created_at
REQ000001,C006013,B014191,Housekeeping,Can someone clean my room?,In Progress,2025-11-19 05:29:12
REQ000002,C007648,,Late Checkout,I want to check out later.,Closed,2026-07-07 15:09:12
REQ000003,C000434,,Complaint,I have a problem with my room.,In Progress,2026-05-19 20:25:39
REQ000004,C001912,B017249,Booking Inquiry,I would like information about room availability.,In Progress,2026-06-13 12:16:18
REQ000005,C001933,B011474,General Inquiry,I have a question about the hotel.,Resolved,2025-09-04 21:35:02
REQ000006,C001550,B011576,Airport Transfer,Do you provide airport transportation?,Closed,2026-04-10 16:46:15
REQ000007,C002002,,Room Service,I would like to order room service.,Resolved,2026-04-04 17:25:56
REQ000008,C000058,,Modification Request,Can I modify my booking?,Closed,2026-08-01 06:50:23
REQ000009,C005840,B000969,Cancellation Request,I need to cancel my hotel reservation.,Resolved,2026-03-05 21:18:15
REQ000010,C005964,B000173,Housekeeping,I need housekeeping service.,Resolved,2025-10-20 13:40:52
REQ000011,C009652,,Cancellation Request,Can I cancel my reservation?,Resolved,2025-12-29 17:35:16
REQ000012,C004201,,Booking Inquiry,I would like information about room availability.,In Progress,2026-05-19 23:25:59
REQ000013,C001550,B014472,Late Checkout,I want to check out later.,Resolved,2026-01-25 23:28:31
REQ000014,C002530,B010886,Modification Request,I want to change my check-in date.,Closed,2025-09-08 05:02:22
REQ000015,C001194,B018750,Cancellation Request,Can I cancel my reservation?,Closed,2025-12-15 15:41:14
REQ000016,C005445,B000828,Airport Transfer,Can you arrange airport pickup?,Resolved,2026-06-08 21:52:44
REQ000017,C004073,,Booking Inquiry,Do you have any rooms available for my dates?,Closed,2026-06-16 15:02:51
REQ000018,C005575,B009346,General Inquiry,I need some information about the hotel.,Closed,2026-06-24 09:49:34
REQ000019,C008675,,Booking Inquiry,I would like information about room availability.,Closed,2025-08-22 16:02:52
REQ000020,C003954,B003967,Extra Bed,Is it possible to add an extra bed?,In Progress,2025-09-17 13:24:32
REQ000021,C000836,B014037,General Inquiry,I need some information about the hotel.,Resolved,2026-04-25 02:25:35
REQ000022,C006469,B004647,Housekeeping,I need housekeeping service.,Closed,2025-12-18 23:25:33
REQ000023,C002152,B011342,Room Service,I would like to order room service.,Closed,2026-04-17 23:32:32
REQ000024,C004932,,Room Service,I would like to order room service.,Resolved,2026-08-11 18:12:10
REQ000025,C001526,B019760,Extra Bed,I need an additional bed in my room.,Resolved,2026-01-23 16:02:53
REQ000026,C007727,B008408,General Inquiry,Can you provide more information?,Resolved,2026-02-11 16:54:50
REQ000027,C004449,B016025,Cancellation Request,I want to cancel my booking.,Open,2026-03-28 22:57:29
REQ000028,C008278,,Housekeeping,I need housekeeping service.,Closed,2025-11-07 09:54:38
REQ000029,C007629,,Booking Inquiry,I want to know if you have available rooms.,Resolved,2025-11-05 23:25:35
REQ000030,C004199,,Modification Request,Can I modify my booking?,Closed,2025-08-20 14:56:20
REQ000031,C009601,B016457,Airport Transfer,I need an airport transfer.,In Progress,2025-10-03 03:45:03
REQ000032,C002511,B013122,Booking Inquiry,I want to know if you have available rooms.,Resolved,2025-11-23 08:52:33
REQ000033,C000697,B005021,Booking Inquiry,I want to know if you have available rooms.,Closed,2025-08-24 11:03:40
REQ000034,C001515,,Housekeeping,Can someone clean my room?,Resolved,2026-07-17 18:55:29
REQ000035,C002647,B001230,Modification Request,I need to change the number of guests.,Closed,2026-05-14 13:28:34
REQ000036,C004973,,Room Service,Can I order food to my room?,Open,2025-12-06 09:15:23
REQ000037,C001035,B018171,Cancellation Request,I want to cancel my booking.,In Progress,2025-09-08 20:28:57
REQ000038,C002633,B006749,Modification Request,Can I modify my booking?,In Progress,2025-12-12 23:57:45
REQ000039,C001146,,Room Service,I need room service.,Resolved,2025-11-27 20:29:54
REQ000040,C002374,B004209,Booking Inquiry,I want to know if you have available rooms.,In Progress,2026-03-14 20:23:35
REQ000041,C008244,B015244,Payment Inquiry,Can you check my payment?,Closed,2026-06-17 21:11:38
REQ000042,C000789,B018616,Room Service,I would like to order room service.,Resolved,2026-02-24 00:07:22
REQ000043,C004358,,Booking Inquiry,I want to know if you have available rooms.,Closed,2025-11-20 12:35:01
REQ000044,C002636,B002892,Extra Bed,Is it possible to add an extra bed?,Resolved,2026-02-12 20:11:39
REQ000045,C008629,,Cancellation Request,Can I cancel my reservation?,Resolved,2026-05-19 20:05:34
REQ000046,C007955,,General Inquiry,Can you provide more information?,Closed,2026-02-12 05:13:31
REQ000047,C006939,,Payment Inquiry,Was my payment successful?,Resolved,2026-02-11 21:47:37
REQ000048,C006200,B015661,Room Service,Can I order food to my room?,Resolved,2026-03-09 10:30:23
REQ000049,C007640,B017282,Complaint,I have a problem with my room.,Resolved,2026-04-01 15:14:02
REQ000050,C009776,,Extra Bed,I need an additional bed in my room.,Resolved,2026-05-30 04:13:31
REQ000051,C003271,B014400,Modification Request,Can I modify my booking?,Resolved,2026-07-14 07:27:36
REQ000052,C003204,,Late Checkout,Is late checkout available?,Closed,2025-10-30 14:41:45
