faq_id,intent_id,language,gt_ok,answer_ok,gt_missing,answer_missing,ground_truth,answer
FAQ0177,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.
FAQ0180,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.
FAQ0185,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.
FAQ0186,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.
FAQ0190,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.
FAQ0201,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.
FAQ0202,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.
FAQ0203,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.
FAQ0204,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.
FAQ0205,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.
FAQ0206,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.
FAQ0207,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.
FAQ0208,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.
FAQ0209,INT007,French,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire."
FAQ0210,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0211,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0215,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer."
FAQ0216,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire."
FAQ0219,INT007,Russian,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой."
FAQ0223,INT007,Russian,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн."
FAQ0224,INT007,Russian,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой."
FAQ0229,INT008,English,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.
FAQ0237,INT008,Arabic,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,نعم، يُطلب من الضيوف تقديم إثبات هوية عند تسجيل الوصول في Nile Pearl Hotel.
FAQ0244,INT008,French,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.
FAQ0249,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0250,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
FAQ0251,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Вам необходимо предъявить действительный документ, удостоверяющий личность, при регистрации в Nile Pearl Hotel."
FAQ0252,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. При прибытии в Nile Pearl Hotel необходимо предоставить действительный документ, удостоверяющий личность."
FAQ0253,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предъявлять документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel."
