faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0481,INT001,Arabic,Scenario,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟,valid,hotel_location,يقع Nile Pearl Hotel في القاهرة، مصر.,Hotel Information,hotel_information.txt,0,Easy,نعم، يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0482,INT001,English,Paraphrased,What city is the Nile Pearl Hotel based in?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0483,INT001,French,Scenario,"Pour un voyage en Égypte, dans quelle ville puis-je trouver le Nile Pearl Hotel ?",valid,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",Hotel Information,hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0484,INT001,Russian,Paraphrased,В каком городе Египта расположен Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel находится в Каире, Египет.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel находится в Каире, Египет."
FAQ0485,INT002,Arabic,Scenario,إذا كنت أختار فندقًا من فئة خمس نجوم، فهل ينطبق ذلك على Nile Pearl Hotel؟,valid,hotel_category,Nile Pearl Hotel هو فندق من فئة 5 نجوم.,Hotel Information,hotel_information.txt,0,Easy,نعم، Nile Pearl Hotel هو فندق من فئة 5 نجوم.
FAQ0486,INT002,English,Scenario,I prefer a five-star property. Does Nile Pearl Hotel meet that rating?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Yes. Nile Pearl Hotel is a 5-star hotel.
FAQ0487,INT002,French,Direct,Le Nile Pearl Hotel est-il classé cinq étoiles ?,valid,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,Hotel Information,hotel_information.txt,0,Easy,Oui. Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0488,INT002,Russian,Scenario,"Если для меня важна категория пять звёзд, подходит ли Nile Pearl Hotel?",valid,hotel_category,Nile Pearl Hotel — пятизвёздочный отель.,Hotel Information,hotel_information.txt,0,Easy,Да. Nile Pearl Hotel — пятизвёздочный отель.
FAQ0489,INT003,Arabic,Direct,هل يمكن التواصل مع استقبال الفندق في أي وقت؟,valid,reception_availability,تعمل خدمة استقبال الفندق على مدار 24 ساعة طوال أيام الأسبوع.,Hotel Information,hotel_information.txt,0,Easy,نعم، يمكن التواصل مع استقبال الفندق على مدار 24 ساعة طوال أيام الأسبوع.
FAQ0490,INT003,English,Scenario,"If I need help late at night, will the hotel reception still be available?",valid,reception_availability,Hotel reception operates 24/7.,Hotel Information,hotel_information.txt,0,Easy,Yes. Hotel reception operates 24/7.
FAQ0491,INT003,French,Paraphrased,Peut-on joindre la réception du Nile Pearl Hotel à toute heure ?,valid,reception_availability,La réception de l'hôtel est ouverte 24h/24 et 7j/7.,Hotel Information,hotel_information.txt,0,Easy,Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.
