faq_id_1,faq_id_2,intent_1,intent_2,language_1,language_2,question_1,question_2,similarity
FAQ0450,FAQ0451,INT001,INT001,English,French,Which city is home to the Nile Pearl Hotel?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9794088006019592
FAQ0453,FAQ0456,INT002,INT002,Arabic,Russian,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟,Сколько звёзд у Nile Pearl Hotel?,0.9622554779052734
FAQ0461,FAQ0464,INT004,INT004,Arabic,Russian,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,Во сколько начинается стандартное заселение в Nile Pearl Hotel?,0.944487452507019
FAQ0462,FAQ0466,INT004,INT005,English,English,From what time can guests normally check in at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9404658675193787
FAQ0450,FAQ0452,INT001,INT001,English,Russian,Which city is home to the Nile Pearl Hotel?,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",0.9333909749984741
FAQ0451,FAQ0452,INT001,INT001,French,Russian,Dans quelle ville se trouve le Nile Pearl Hotel ?,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",0.9320708513259888
FAQ0464,FAQ0468,INT004,INT005,Russian,Russian,Во сколько начинается стандартное заселение в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9280424118041992
FAQ0461,FAQ0468,INT004,INT005,Arabic,Russian,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9240033626556396
FAQ0479,FAQ0480,INT008,INT008,French,Russian,Un document d'identité est-il nécessaire pour effectuer l'enregistrement au Nile Pearl Hotel ?,Нужно ли предъявлять действующее удостоверение личности при заселении в Nile Pearl Hotel?,0.9232373237609863
FAQ0451,FAQ0455,INT001,INT002,French,French,Dans quelle ville se trouve le Nile Pearl Hotel ?,Quelle est la catégorie du Nile Pearl Hotel ?,0.9148040413856506
FAQ0473,FAQ0475,INT007,INT007,Arabic,French,هل يمكنني طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel؟,Le départ tardif est-il possible au Nile Pearl Hotel ?,0.9142739772796631
FAQ0457,FAQ0459,INT003,INT003,Arabic,French,هل تعمل خدمة الاستقبال في Nile Pearl Hotel طوال اليوم؟,La réception du Nile Pearl Hotel est-elle disponible à toute heure ?,0.8995150327682495
FAQ0450,FAQ0455,INT001,INT002,English,French,Which city is home to the Nile Pearl Hotel?,Quelle est la catégorie du Nile Pearl Hotel ?,0.8925622701644897
FAQ0461,FAQ0469,INT004,INT006,Arabic,Arabic,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,إذا وصلت إلى Nile Pearl Hotel قبل الموعد المعتاد، هل يمكنني طلب تسجيل الوصول المبكر؟,0.8913178443908691
FAQ0467,FAQ0468,INT005,INT005,French,Russian,"Si je termine mon séjour au Nile Pearl Hotel, à quelle heure dois-je libérer ma chambre ?",К какому времени нужно освободить номер в Nile Pearl Hotel?,0.8877477645874023
FAQ0469,FAQ0471,INT006,INT006,Arabic,French,إذا وصلت إلى Nile Pearl Hotel قبل الموعد المعتاد، هل يمكنني طلب تسجيل الوصول المبكر؟,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel ?,0.8873517513275146
FAQ0461,FAQ0462,INT004,INT004,Arabic,English,متى يبدأ تسجيل الوصول المعتاد في Nile Pearl Hotel؟,From what time can guests normally check in at Nile Pearl Hotel?,0.8858332633972168
FAQ0462,FAQ0468,INT004,INT005,English,Russian,From what time can guests normally check in at Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.8840743899345398
FAQ0462,FAQ0464,INT004,INT004,English,Russian,From what time can guests normally check in at Nile Pearl Hotel?,Во сколько начинается стандартное заселение в Nile Pearl Hotel?,0.8806977272033691
FAQ0471,FAQ0473,INT006,INT007,French,Arabic,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel ?,هل يمكنني طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel؟,0.8793182373046875
FAQ0449,FAQ0452,INT001,INT001,Arabic,Russian,إذا كنت أخطط للإقامة في القاهرة، ففي أي مدينة يقع Nile Pearl Hotel؟,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",0.877280592918396
FAQ0469,FAQ0477,INT006,INT008,Arabic,Arabic,إذا وصلت إلى Nile Pearl Hotel قبل الموعد المعتاد، هل يمكنني طلب تسجيل الوصول المبكر؟,عند الوصول إلى Nile Pearl Hotel، ماذا أحتاج لإتمام إجراءات تسجيل الوصول؟,0.8750710487365723
FAQ0471,FAQ0477,INT006,INT008,French,Arabic,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel ?,عند الوصول إلى Nile Pearl Hotel، ماذا أحتاج لإتمام إجراءات تسجيل الوصول؟,0.8746572732925415
FAQ0454,FAQ0455,INT002,INT002,English,French,I am comparing hotels in Cairo. What star category does Nile Pearl Hotel belong to?,Quelle est la catégorie du Nile Pearl Hotel ?,0.864942729473114
FAQ0452,FAQ0455,INT001,INT002,Russian,French,"Если я собираюсь остановиться в Nile Pearl Hotel, в каком городе находится отель?",Quelle est la catégorie du Nile Pearl Hotel ?,0.8637650012969971
FAQ0455,FAQ0456,INT002,INT002,French,Russian,Quelle est la catégorie du Nile Pearl Hotel ?,Сколько звёзд у Nile Pearl Hotel?,0.8627192974090576
FAQ0469,FAQ0473,INT006,INT007,Arabic,Arabic,إذا وصلت إلى Nile Pearl Hotel قبل الموعد المعتاد، هل يمكنني طلب تسجيل الوصول المبكر؟,هل يمكنني طلب تسجيل المغادرة المتأخر في Nile Pearl Hotel؟,0.8621788024902344
FAQ0459,FAQ0468,INT003,INT005,French,Russian,La réception du Nile Pearl Hotel est-elle disponible à toute heure ?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.8618474006652832
