faq_id,category,question,answer,language
FAQ001,Check-in,What time is check-in?,Check-in starts at 3:00 PM.,English
FAQ002,Check-out,What time is check-out?,Check-out is at 12:00 PM.,English
FAQ003,Check-in,Can I check in early?,Early check-in is subject to room availability and hotel approval.,English
FAQ004,Check-out,Can I check out late?,Late checkout is subject to availability and may have an additional fee.,English
FAQ005,Booking,How can I make a reservation?,"Guests can make a reservation through the hotel website, phone, booking platforms, or customer service agent.",English
FAQ006,Booking,Can I modify my reservation?,"Yes, reservation modifications may be requested through customer service and are subject to availability.",English
FAQ007,Booking,Can I cancel my reservation?,Standard reservations can be cancelled free of charge up to 48 hours before check-in.,English
FAQ008,Payment,What payment methods do you accept?,"The hotel accepts credit cards, debit cards, cash, bank transfers, and digital wallets.",English
FAQ009,Payment,How long does a refund take?,Approved refunds are normally processed within 5 to 10 business days.,English
FAQ010,Payment,What happens if my payment fails?,Guests can retry the payment using another supported payment method.,English
FAQ011,Services,Is room service available?,"Yes, room service is available 24 hours a day.",English
FAQ012,Services,Do you provide airport transfer?,"Yes, airport transfer is available upon request for 800 EGP per trip.",English
FAQ013,Services,Is laundry service available?,"Yes, laundry and dry-cleaning services are available daily.",English
FAQ014,Services,Can I request an extra bed?,"Yes, an extra bed can be requested depending on room capacity and availability.",English
FAQ015,Facilities,Does the hotel have a swimming pool?,"Yes, the swimming pool is available from 7:00 AM to 9:00 PM.",English
FAQ016,Facilities,Is the gym open 24 hours?,"Yes, the gym is open 24/7 for hotel guests.",English
FAQ017,Facilities,Is Wi-Fi free?,"Yes, free Wi-Fi is available in all rooms and public areas.",English
FAQ018,Facilities,Does the hotel have parking?,"Yes, parking is available for hotel guests.",English
FAQ019,Policies,Are pets allowed?,"No, pets are not allowed inside the hotel.",English
FAQ020,Policies,Is smoking allowed inside rooms?,"No, smoking is not permitted inside guest rooms or indoor public areas.",English
FAQ021,Rooms,How many guests can stay in a suite?,A suite can accommodate up to 4 guests.,English
FAQ022,Rooms,What amenities are available in the rooms?,"Rooms include free Wi-Fi, air conditioning, a private bathroom, television, housekeeping, toiletries, and towels.",English
