faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0001,INT001,English,Direct,Where is Nile Pearl Hotel located?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0002,INT001,English,Direct,Where is Nile Pearl Hotel situated?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2.0,,"Nile Pearl Hotel is situated in Cairo, Egypt."
FAQ0003,INT001,English,Direct,In which city is Nile Pearl Hotel located?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0004,INT001,English,Paraphrased,In which city can I find the Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"The Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0005,INT001,English,Paraphrased,Where can I find the Nile Pearl Hotel?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0006,INT001,English,Paraphrased,In which major city can Nile Pearl Hotel be found?,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"Nile Pearl Hotel can be found in Cairo, Egypt."
FAQ0007,INT001,English,Scenario,"While planning my trip to Egypt, I want to make sure I can easily find the Nile Pearl Hotel. Could you tell me which city it is located in?",VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0008,INT001,English,Scenario,"While planning my trip to Egypt, I want to make sure I know where to find Nile Pearl Hotel. Can you tell me which city it's located in?",VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0009,INT001,Arabic,Direct,أين يقع فندق Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,يقع فندق Nile Pearl Hotel في القاهرة، مصر.
FAQ0010,INT001,Arabic,Direct,أين يقع Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2.0,,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0011,INT001,Arabic,Direct,أين يوجد Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,5.0,,يقع فندق نيل بيرل في القاهرة، مصر.
FAQ0012,INT001,Arabic,Paraphrased,أين يقع Nile Pearl Hotel في مصر؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0013,INT001,Arabic,Paraphrased,أين توجد Nile Pearl Hotel؟,VALID,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1.0,,تقع Nile Pearl Hotel في القاهرة، مصر.
