faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0129,INT005,English,Direct,What is the standard check-out time at Nile Pearl Hotel?,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0130,INT005,English,Direct,By what time must guests leave the room at Nile Pearl Hotel?,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0131,INT005,English,Direct,What is the hotel's regular departure time for guests at Nile Pearl Hotel?,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0132,INT005,English,Paraphrased,What is the latest time I can check out at Nile Pearl Hotel?,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0133,INT005,English,Paraphrased,What is the designated time by which I need to check out by at Nile Pearl Hotel?,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0134,INT005,English,Paraphrased,What is the specific time by which I need to check out at Nile Pearl Hotel?,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0135,INT005,English,Scenario,"If I plan to leave the Nile Pearl Hotel today, what is the standard check-out time I should aim to complete my departure by?",,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0136,INT005,English,Scenario,"If I plan to leave Nile Pearl Hotel today, what is the standard check-out time I should aim to complete my departure by?",,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0137,INT005,Arabic,Direct,ما هو وقت الخروج المعتاد في فندق Nile Pearl Hotel؟,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0138,INT005,Arabic,Direct,متى هو وقت الخروج المعتاد من فندق Nile Pearl Hotel؟,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0139,INT005,Arabic,Direct,ما هو الوقت المعاصر لتسجيل الخروج في مotel Nile Pearl Hotel؟,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
FAQ0140,INT005,Arabic,Paraphrased,ما هو الوقت المستANDARD لتسجيل الخروج في Nile Pearl Hotel؟,,check_out_time,Standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,,Easy,Standard check-out time is 12:00 PM.
