faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0705,INT001,English,Direct,Where is the hotel located?,generated,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0706,INT001,Arabic,Paraphrased,أين يقع الفندق؟,generated,hotel_location,يقع فندق نايل بيرل في القاهرة، مصر.,hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,يقع فندق نايل بيرل في القاهرة، مصر.
FAQ0707,INT001,French,Scenario,Où se trouve l'hôtel ?,generated,hotel_location,"L'hôtel Nile Pearl est situé au Caire, en Égypte.",hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,"L'hôtel Nile Pearl est situé au Caire, en Égypte."
FAQ0708,INT001,Russian,Direct,Где находится отель?,generated,hotel_location,"Отель Nile Pearl находится в Каире, Египет.",hotel_location,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,"Отель Nile Pearl находится в Каире, Египет."
FAQ0709,INT002,English,Paraphrased,What category is the hotel?,generated,hotel_category,Nile Pearl Hotel is a 5-Star Hotel.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-Star Hotel.
FAQ0710,INT002,Arabic,Scenario,ما تصنيف الفندق؟,generated,hotel_category,فندق نايل بيرل هو فندق خمس نجوم.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,فندق نايل بيرل هو فندق خمس نجوم.
FAQ0711,INT002,French,Direct,Quelle est la catégorie de l'hôtel ?,generated,hotel_category,L'hôtel Nile Pearl est un hôtel 5 étoiles.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,L'hôtel Nile Pearl est un hôtel 5 étoiles.
FAQ0712,INT002,Russian,Paraphrased,Какова категория отеля?,generated,hotel_category,Отель Nile Pearl — пятизвёздочный отель.,hotel_category,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0,Easy,Отель Nile Pearl — пятизвёздочный отель.
FAQ0713,INT003,English,Scenario,Is the hotel reception available 24 hours a day?,generated,reception_availability,Hotel reception is available 24/7.,reception_availability,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0,Easy,Hotel reception is available 24/7.
FAQ0714,INT003,Arabic,Direct,هل مكتب الاستقبال متاح على مدار 24 ساعة؟,generated,reception_availability,مكتب استقبال الفندق متاح على مدار 24 ساعة.,reception_availability,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0,Easy,مكتب استقبال الفندق متاح على مدار 24 ساعة.
FAQ0715,INT003,French,Paraphrased,La réception de l'hôtel est-elle disponible 24 heures sur 24 ?,generated,reception_availability,La réception de l'hôtel est disponible 24 heures sur 24.,reception_availability,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0,Easy,La réception de l'hôtel est disponible 24 heures sur 24.
FAQ0716,INT003,Russian,Scenario,Работает ли стойка регистрации круглосуточно?,generated,reception_availability,Стойка регистрации отеля работает круглосуточно.,reception_availability,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0,Easy,Стойка регистрации отеля работает круглосуточно.
FAQ0717,INT004,English,Direct,What is the standard check-in time?,generated,check_in_time,The standard check-in time is 3:00 PM.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,The standard check-in time is 3:00 PM.
FAQ0718,INT004,Arabic,Paraphrased,ما هو وقت تسجيل الوصول المعتاد؟,generated,check_in_time,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.
FAQ0719,INT004,French,Scenario,Quelle est l'heure d'enregistrement standard ?,generated,check_in_time,L'heure d'enregistrement standard est 15h00.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,L'heure d'enregistrement standard est 15h00.
FAQ0720,INT004,Russian,Direct,Какое стандартное время регистрации заезда?,generated,check_in_time,Стандартное время заезда — 15:00.,check_in_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Стандартное время заезда — 15:00.
FAQ0721,INT005,English,Paraphrased,What is the standard check-out time?,generated,check_out_time,The standard check-out time is 12:00 PM.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,The standard check-out time is 12:00 PM.
FAQ0722,INT005,Arabic,Scenario,ما هو وقت تسجيل المغادرة المعتاد؟,generated,check_out_time,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.
FAQ0723,INT005,French,Direct,Quelle est l'heure de départ standard ?,generated,check_out_time,L'heure de départ standard est 12h00.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,L'heure de départ standard est 12h00.
FAQ0724,INT005,Russian,Paraphrased,Какое стандартное время регистрации выезда?,generated,check_out_time,Стандартное время выезда — 12:00.,check_out_time,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Стандартное время выезда — 12:00.
FAQ0725,INT006,English,Scenario,Can I check in early?,generated,early_check_in,Early check-in is subject to room availability and hotel approval.,early_check_in,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Early check-in is subject to room availability and hotel approval.
FAQ0726,INT006,Arabic,Direct,هل يمكنني تسجيل الوصول مبكرًا؟,generated,early_check_in,تسجيل الوصول المبكر يخضع لتوفر الغرفة وموافقة الفندق.,early_check_in,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,تسجيل الوصول المبكر يخضع لتوفر الغرفة وموافقة الفندق.
FAQ0727,INT006,French,Paraphrased,Puis-je faire un enregistrement anticipé ?,generated,early_check_in,L'enregistrement anticipé dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.,early_check_in,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,L'enregistrement anticipé dépend de la disponibilité de la chambre et de l'approbation de l'hôtel.
FAQ0728,INT006,Russian,Scenario,Можно ли заселиться раньше установленного времени?,generated,early_check_in,Ранний заезд зависит от наличия номера и одобрения отеля.,early_check_in,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Ранний заезд зависит от наличия номера и одобрения отеля.
FAQ0729,INT007,English,Direct,Can I check out late?,generated,late_check_out,Late check-out is subject to availability and hotel approval.,late_check_out,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0,Easy,Late check-out is subject to availability and hotel approval.
