issue,details,faq_id,intent_id,language,question,ground_truth,answer,source
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0170', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0170,INT006,Arabic,هل يسمح Nile Pearl Hotel بتسجيل الدخول إلى الغرفة في وقت أبكر من الموعد المحدد؟,Early check-in is subject to room availability and hotel approval.,نعم، يُسمح بتسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توافر الغرف وموافقة الفندق.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0171', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0171,INT006,Arabic,هل يمكن للضيوف في Nile Pearl Hotel تسجيل الوصول مبكرًا؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن للضيوف تسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة عليها من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0173', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0173,INT006,Arabic,هل يمكنني الوصول إلى الفندق وتسجيل الوصول مبكرًا قبل الوقت المعتاد في Nile Pearl Hotel؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن الوصول إلى الفندق وتسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0175', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0175,INT006,Arabic,إذا وصلت إلى Nile Pearl Hotel قبل موعد تسجيل الوصول المعتاد، هل يمكن للفندق ترتيب دخول الغرفة مبكرًا؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن للفندق ترتيب دخول الغرفة مبكرًا بناءً على توافر الغرف وموافقة الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0180', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0180,INT006,French,Peut-on demander un enregistrement anticipé au Nile Pearl Hotel avant l'heure normale?,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0185', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0185,INT006,Russian,Доступна ли ранняя регистрация заезда в Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0186', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0186,INT006,Russian,Разрешает ли отель Nile Pearl Hotel ранний заезд?,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0190', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}",FAQ0190,INT006,Russian,"Если я приеду значительно раньше стандартного времени, могу ли я попросить раннее заселение в Nile Pearl Hotel?",Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0201', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}",FAQ0201,INT007,Arabic,هل يمكنني الاحتفاظ بالغرفة لفترة أطول بعد موعد تسجيل الخروج في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,check_in_check_out.txt
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0204', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}",FAQ0204,INT007,Arabic,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وما العوامل التي تحدد إمكانية ذلك؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
