faq_id,intent_id,language,gt_ok,answer_ok,gt_missing,answer_missing,ground_truth,answer,question,ground_truth_master,answer_master,source
FAQ0177,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Le check-in anticipé est-il disponible au Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,check_in_check_out.txt
FAQ0180,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,Peut-on demander un enregistrement anticipé au Nile Pearl Hotel avant l'heure normale?,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,check_in_check_out.txt
FAQ0185,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Доступна ли ранняя регистрация заезда в Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
FAQ0186,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,Разрешает ли отель Nile Pearl Hotel ранний заезд?,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
FAQ0190,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,"Если я приеду значительно раньше стандартного времени, могу ли я попросить раннее заселение в Nile Pearl Hotel?",Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
FAQ0201,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,هل يمكنني الاحتفاظ بالغرفة لفترة أطول بعد موعد تسجيل الخروج في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,check_in_check_out.txt
FAQ0202,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,هل يمكنني طلب تسجيل خروج متأخر في Nile Pearl Hotel، وما الشروط المطلوبة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
FAQ0203,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,ما المتطلبات اللازمة لطلب تسجيل خروج متأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
FAQ0204,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وما العوامل التي تحدد إمكانية ذلك؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
FAQ0205,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,هل يمكنني الحصول على تسجيل خروج متأخر في Nile Pearl Hotel، وهل توجد رسوم إضافية؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
FAQ0206,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,ما الشروط التي قد تحدد الموافقة على تسجيل الخروج المتأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel بناءً على توافر الغرف، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
FAQ0207,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,إذا كانت لدي رحلة متأخرة في اليوم التالي، هل يمكنني طلب تسجيل خروج متأخر من Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنك طلب تسجيل خروج متأخر من Nile Pearl Hotel إذا كانت هناك متوفرية، وقد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
FAQ0208,INT007,Arabic,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,إذا كانت رحلتي في وقت متأخر من اليوم، هل يمكنني الحصول على تسجيل خروج متأخر من Nile Pearl Hotel، وهل توجد رسوم إضافية؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكنكم الحصول على تسجيل خروج متأخر إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt
FAQ0209,INT007,French,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.","Est-il possible d'obtenir un départ tardif au Nile Pearl Hotel, et quelles sont les exigences?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, un départ tardif est possible au Nile Pearl Hotel si des places sont encore disponibles, mais il peut être facturé une frais supplémentaire.",check_in_check_out.txt
FAQ0210,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Est-il possible de quitter la chambre plus tard que l'heure normale au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
FAQ0211,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Quelles conditions faut-il remplir pour bénéficier d'un départ tardif au Nile Pearl Hotel ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
FAQ0215,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.","Si je souhaite prolonger mon séjour au Nile Pearl Hotel, puis-je bénéficier d'un départ tardif et quels frais supplémentaires dois-je prévoir?",Late check-out is subject to availability and may incur an additional fee.,"Madame ou Monsieur, votre départ tardif est soumis à la disponibilité. Un frais supplémentaire pourra éventuellement s'appliquer.",check_in_check_out.txt
FAQ0216,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.","Si je dois quitter le Nile Pearl Hotel plus tard que prévu, puis-je demander un départ tardif et quelles règles dois-je respecter?",Late check-out is subject to availability and may incur an additional fee.,"Monsieur ou Madame, si vous devez quitter le Nile Pearl Hotel plus tard que prévu, vous pouvez demander un départ tardif. Cependant, cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",check_in_check_out.txt
FAQ0219,INT007,Russian,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",Dans quelles situations un départ après l'heure normale peut-il être accordé ?,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt
FAQ0223,INT007,Russian,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.","Могу ли я получить поздний выезд из Nile Pearl Hotel, и если да, как это сделать и будут ли дополнительные расходы?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если имеется свободное место. Однако это может быть за дополнительную плату. Для бронирования позднего выезда свяжитесь с нашей ресепшн.",check_in_check_out.txt
FAQ0224,INT007,Russian,True,False,,availability,Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.","Могу ли я получить поздний выезд из Nile Pearl Hotel, и если это возможно, под какие условия и будут ли какие-либо дополнительные расходы?",Late check-out is subject to availability and may incur an additional fee.,"Да, вы можете получить поздний выезд из Nile Pearl Hotel, если будет доступно свободное место. Однако это может быть с дополнительной оплатой.",check_in_check_out.txt
FAQ0229,INT008,English,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.,Is identification necessary for guests when checking in at Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,Yes. Identification is required for guests during check-in at Nile Pearl Hotel.,identification_policy.txt
FAQ0237,INT008,Arabic,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,نعم، يُطلب من الضيوف تقديم إثبات هوية عند تسجيل الوصول في Nile Pearl Hotel.,هل يحتاج الضيوف إلى تقديم وثائق إثبات الهوية عند تسجيل الوصول في Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,نعم، يُطلب من الضيوف تقديم إثبات هوية عند تسجيل الوصول في Nile Pearl Hotel.,identification_policy.txt
FAQ0244,INT008,French,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.,"À mon arrivée au Nile Pearl Hotel, dois-je fournir un document d'identité valide avant de m'enregistrer?",Guests are required to provide valid identification documents during check-in.,Oui. Vous devez présenter un document d'identité valide lors de votre arrivée au Nile Pearl Hotel.,identification_policy.txt
FAQ0249,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",Нужно ли предъявлять удостоверение личности для оформления регистрации в Nile Pearl Hotel?,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",identification_policy.txt
FAQ0250,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.","Какие документы, удостоверяющие личность, необходимы при регистрации заезда в Nile Pearl Hotel?",Guests are required to provide valid identification documents during check-in.,"Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",identification_policy.txt
FAQ0251,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Вам необходимо предъявить действительный документ, удостоверяющий личность, при регистрации в Nile Pearl Hotel.","Нужно ли предъявлять действительный документ, удостоверяющий личность, при регистрации в Nile Pearl Hotel?",Guests are required to provide valid identification documents during check-in.,"Да. Вам необходимо предъявить действительный документ, удостоверяющий личность, при регистрации в Nile Pearl Hotel.",identification_policy.txt
FAQ0252,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. При прибытии в Nile Pearl Hotel необходимо предоставить действительный документ, удостоверяющий личность.",Какое удостоверение личности принимается от гостя при заселении?,Guests are required to provide valid identification documents during check-in.,"Да. При прибытии в Nile Pearl Hotel необходимо предоставить действительный документ, удостоверяющий личность.",identification_policy.txt
FAQ0253,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предъявлять документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.","Требуется ли гостям предъявлять документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel?",Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предъявлять документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",identification_policy.txt
FAQ0254,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Nile Pearl Hotel требует от гостей предоставить действительный документ, удостоверяющий личность, во время регистрации заезда.","Какие документы, удостоверяющие личность, могут потребоваться при заселении в Nile Pearl Hotel?",Guests are required to provide valid identification documents during check-in.,"Да. Nile Pearl Hotel требует от гостей предоставить действительный документ, удостоверяющий личность, во время регистрации заезда.",identification_policy.txt
FAQ0255,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Вам следует взять с собой действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.","Я собираюсь приехать в Nile Pearl Hotel. Нужно ли мне взять с собой действительный документ, удостоверяющий личность, для регистрации заезда?",Guests are required to provide valid identification documents during check-in.,"Да. Вам следует взять с собой действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",identification_policy.txt
FAQ0256,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Убедитесь, что у вас есть действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.","Я готовлюсь к проживанию в Nile Pearl Hotel и хочу узнать, нужно ли иметь при себе документ, удостоверяющий личность, при регистрации заезда?",Guests are required to provide valid identification documents during check-in.,"Да. Убедитесь, что у вас есть действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",identification_policy.txt
FAQ0288,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов.",Какой документ удостоверяющий личность нужно предъявить при регистрации?,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов.",batch_02
FAQ0309,INT006,Arabic,False,False,approval,approval,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,سأصل قبل موعد تسجيل الوصول، فهل يمكنني الدخول إلى غرفتي مبكرًا؟,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,Generated Batch 03
FAQ0310,INT006,English,False,False,approval,approval,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,I will arrive before the check-in time; can I enter my room early?,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,Generated Batch 03
FAQ0311,INT006,French,False,False,approval,approval,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,J'arriverai avant l'heure d'arrivée prévue ; puis-je accéder à ma chambre plus tôt ?,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,Generated Batch 03
FAQ0312,INT006,Russian,False,False,approval,approval,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Я приеду раньше времени регистрации; смогу ли я заселиться в номер раньше?,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Generated Batch 03
FAQ0313,INT007,Arabic,False,False,additional_fee,additional_fee,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,هل يوفر الفندق خيار تمديد وقت تسجيل المغادرة إلى وقت لاحق؟,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,Generated Batch 03
FAQ0314,INT007,English,False,False,additional_fee,additional_fee,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,Does the hotel offer an option to extend the check-out time?,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,Generated Batch 03
FAQ0315,INT007,French,False,False,additional_fee,additional_fee,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,L'hôtel propose-t-il de prolonger l'heure de départ ?,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,Generated Batch 03
FAQ0316,INT007,Russian,False,False,additional_fee,additional_fee,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",Предлагает ли отель возможность продлить время выезда?,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",Generated Batch 03
FAQ0320,INT008,Russian,False,False,valid_identification,valid_identification,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность.",При заселении в отель какой документ удостоверяющий личность нужно предоставить?,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность.",Generated Batch 03
FAQ0343,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Puis-je demander un enregistrement avant l'heure habituelle ?,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Generated Batch 04
FAQ0344,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Можно ли подать запрос на заселение раньше обычного времени?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 04
FAQ0345,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,هل توجد إمكانية للبقاء في الغرفة بعد موعد تسجيل المغادرة المعتاد؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 04
FAQ0347,INT007,French,True,False,,additional_fee,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Est-il possible de rester dans la chambre après l'heure habituelle de départ ?,Late check-out is subject to availability and may incur an additional fee.,"Oui, vous pouvez demander un départ tardif au Nile Pearl Hotel, mais cela dépend de la disponibilité et peut engendrer une frais supplémentaire.",Generated Batch 04
FAQ0352,INT008,Russian,True,False,,valid_identification,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",Нужно ли предъявлять удостоверение личности при регистрации заезда?,Guests are required to provide valid identification documents during check-in.,"Да. Гости должны предоставить действительный документ, удостоверяющий личность, при регистрации заезда в Nile Pearl Hotel.",Generated Batch 04
FAQ0375,INT006,French,True,False,,availability,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,"Si j'arrive avant l'heure d'enregistrement, puis-je demander à accéder à ma chambre plus tôt ?",Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,Generated Batch 05
FAQ0376,INT006,Russian,True,False,,approval,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,"Если я приеду раньше времени заезда, могу ли я попросить заселиться в номер раньше?",Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 05
FAQ0377,INT007,Arabic,True,False,,"availability, additional_fee",Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,هل يمكن تمديد إقامتي في الغرفة إلى ما بعد وقت المغادرة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,Generated Batch 05
