faq_id,intent_id,language,gt_ok,answer_ok,gt_missing,answer_missing,ground_truth,answer,question,ground_truth_master,answer_master,source
FAQ0288,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов.",Какой документ удостоверяющий личность нужно предъявить при регистрации?,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов.",batch_02
FAQ0309,INT006,Arabic,False,False,approval,approval,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,سأصل قبل موعد تسجيل الوصول، فهل يمكنني الدخول إلى غرفتي مبكرًا؟,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,Generated Batch 03
FAQ0310,INT006,English,False,False,approval,approval,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,I will arrive before the check-in time; can I enter my room early?,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,Generated Batch 03
FAQ0311,INT006,French,False,False,approval,approval,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,J'arriverai avant l'heure d'arrivée prévue ; puis-je accéder à ma chambre plus tôt ?,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,Generated Batch 03
FAQ0312,INT006,Russian,False,False,approval,approval,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Я приеду раньше времени регистрации; смогу ли я заселиться в номер раньше?,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Generated Batch 03
FAQ0313,INT007,Arabic,False,False,additional_fee,additional_fee,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,هل يوفر الفندق خيار تمديد وقت تسجيل المغادرة إلى وقت لاحق؟,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,Generated Batch 03
FAQ0314,INT007,English,False,False,additional_fee,additional_fee,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,Does the hotel offer an option to extend the check-out time?,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.,Generated Batch 03
FAQ0315,INT007,French,False,False,additional_fee,additional_fee,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,L'hôtel propose-t-il de prolonger l'heure de départ ?,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.,Generated Batch 03
FAQ0316,INT007,Russian,False,False,additional_fee,additional_fee,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",Предлагает ли отель возможность продлить время выезда?,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия.",Generated Batch 03
FAQ0320,INT008,Russian,False,False,valid_identification,valid_identification,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность.",При заселении в отель какой документ удостоверяющий личность нужно предоставить?,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность.",Generated Batch 03
FAQ0480,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","Да, при заселении необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов.",Нужно ли предъявлять действующее удостоверение личности при заселении в Nile Pearl Hotel?,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","Да, при заселении необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов.",identification_policy.txt
FAQ0512,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","При регистрации заезда необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов.","Что нужно предъявить из документов, чтобы пройти регистрацию заезда?","Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","При регистрации заезда необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов.",identification_policy.txt
