intent_id,language,issue,count
INT007,French,INT007_ANSWER_FACT,11
INT006,Russian,INT006_ANSWER_FACT,8
INT007,Arabic,INT007_ANSWER_FACT,8
INT006,Arabic,INT006_ANSWER_FACT,5
INT007,Russian,INT007_ANSWER_FACT,4
INT008,French,INT008_ANSWER_IDENTIFICATION,2
INT006,French,INT006_ANSWER_FACT,2
INT006,French,INT006_GT_FACT,1
INT006,Russian,INT006_GT_FACT,1
INT006,Arabic,INT006_GT_FACT,1
INT007,English,INT007_ANSWER_FACT,1
INT007,English,INT007_GT_FACT,1
INT006,English,INT006_GT_FACT,1
INT007,French,INT007_GT_FACT,1
INT006,English,INT006_ANSWER_FACT,1
INT007,Russian,INT007_GT_FACT,1
INT008,Arabic,INT008_ANSWER_IDENTIFICATION,1
INT008,English,INT008_ANSWER_IDENTIFICATION,1
INT007,Arabic,INT007_GT_FACT,1
