faq_id,question,answer,ground_truth,intent_name,language,difficulty,question_type,source,attempts
FAQ0673,Where is Nile Pearl Hotel located?,"Nile Pearl Hotel is located in Cairo, Egypt.","Nile Pearl Hotel is located in Cairo, Egypt.",hotel_location,English,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0674,في أي مدينة يوجد فندق Nile Pearl Hotel؟,"Nile Pearl Hotel is located in Cairo, Egypt.","Nile Pearl Hotel is located in Cairo, Egypt.",hotel_location,Arabic,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0675,Pouvez-vous me donner l'emplacement de Nile Pearl Hotel ?,"Nile Pearl Hotel is located in Cairo, Egypt.","Nile Pearl Hotel is located in Cairo, Egypt.",hotel_location,French,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0676,В каком городе и стране находится Nile Pearl Hotel?,"Nile Pearl Hotel is located in Cairo, Egypt.","Nile Pearl Hotel is located in Cairo, Egypt.",hotel_location,Russian,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0677,How many stars does Nile Pearl Hotel have?,Nile Pearl Hotel is a 5-star hotel.,Nile Pearl Hotel is a 5-star hotel.,hotel_category,English,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0678,ما تصنيف فندق Nile Pearl Hotel؟,Nile Pearl Hotel is a 5-star hotel.,Nile Pearl Hotel is a 5-star hotel.,hotel_category,Arabic,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0679,Nile Pearl Hotel est-il un hôtel cinq étoiles ?,Nile Pearl Hotel is a 5-star hotel.,Nile Pearl Hotel is a 5-star hotel.,hotel_category,French,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0680,Какой звездный рейтинг у Nile Pearl Hotel?,Nile Pearl Hotel is a 5-star hotel.,Nile Pearl Hotel is a 5-star hotel.,hotel_category,Russian,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/hotel_information.txt,0
FAQ0681,Is the reception at Nile Pearl Hotel available 24/7?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,reception_availability,English,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0
FAQ0682,هل يمكنني التواصل مع الاستقبال في أي وقت؟,Hotel reception operates 24/7.,Hotel reception operates 24/7.,reception_availability,Arabic,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0
FAQ0683,Quels sont les horaires de la réception ?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,reception_availability,French,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0
FAQ0684,Доступна ли стойка регистрации 24 часа в сутки?,Hotel reception operates 24/7.,Hotel reception operates 24/7.,reception_availability,Russian,Easy,Direct,02_Hotel_Knowledge/Hotel_Information/contact_information.txt,0
FAQ0685,What time does check-in start at Nile Pearl Hotel?,Standard check-in time is 3:00 PM.,Standard check-in time is 3:00 PM.,check_in_time,English,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0686,ما هو وقت تسجيل الوصول المعتاد؟,Standard check-in time is 3:00 PM.,Standard check-in time is 3:00 PM.,check_in_time,Arabic,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0687,À quelle heure les clients peuvent-ils s'enregistrer ?,Standard check-in time is 3:00 PM.,Standard check-in time is 3:00 PM.,check_in_time,French,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0688,Когда начинается стандартная регистрация заезда?,Standard check-in time is 3:00 PM.,Standard check-in time is 3:00 PM.,check_in_time,Russian,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0689,What time is standard check-out?,Standard check-out time is 12:00 PM.,Standard check-out time is 12:00 PM.,check_out_time,English,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0690,ما هو وقت تسجيل الخروج المعتاد؟,Standard check-out time is 12:00 PM.,Standard check-out time is 12:00 PM.,check_out_time,Arabic,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0691,À quelle heure les clients doivent-ils quitter l'hôtel ?,Standard check-out time is 12:00 PM.,Standard check-out time is 12:00 PM.,check_out_time,French,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0692,До какого времени нужно завершить выезд?,Standard check-out time is 12:00 PM.,Standard check-out time is 12:00 PM.,check_out_time,Russian,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0693,Is early check-in available at Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,Early check-in is subject to room availability and hotel approval.,early_check_in,English,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0694,هل يمكنني تسجيل الوصول قبل الموعد المعتاد؟,Early check-in is subject to room availability and hotel approval.,Early check-in is subject to room availability and hotel approval.,early_check_in,Arabic,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
FAQ0695,Est-il possible d'accéder à la chambre plus tôt ?,Early check-in is subject to room availability and hotel approval.,Early check-in is subject to room availability and hotel approval.,early_check_in,French,Easy,Direct,02_Hotel_Knowledge/Policies/check_in_check_out.txt,0
