faq_id,issue,details
FAQ0485,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['خمس نجوم'], 'ground_truth': 'Nile Pearl Hotel هو فندق من فئة 5 نجوم.'}"
FAQ0485,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['خمس نجوم'], 'answer': 'نعم، Nile Pearl Hotel هو فندق من فئة 5 نجوم.'}"
FAQ0486,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['5 star'], 'ground_truth': 'Nile Pearl Hotel is a 5-star hotel.'}"
FAQ0486,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['5 star'], 'answer': 'Yes. Nile Pearl Hotel is a 5-star hotel.'}"
FAQ0487,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['cinq étoiles'], 'ground_truth': 'Le Nile Pearl Hotel est un hôtel 5 étoiles.'}"
FAQ0487,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['cinq étoiles'], 'answer': 'Oui. Le Nile Pearl Hotel est un hôtel 5 étoiles.'}"
FAQ0488,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['5 звезд'], 'ground_truth': 'Nile Pearl Hotel — пятизвёздочный отель.'}"
FAQ0488,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['5 звезд'], 'answer': 'Да. Nile Pearl Hotel — пятизвёздочный отель.'}"
FAQ0488,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['5-звезд'], 'ground_truth': 'Nile Pearl Hotel — пятизвёздочный отель.'}"
FAQ0488,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['5-звезд'], 'answer': 'Да. Nile Pearl Hotel — пятизвёздочный отель.'}"
FAQ0490,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['24 hours'], 'ground_truth': 'Hotel reception operates 24/7.'}"
FAQ0490,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['24 hours'], 'answer': 'Yes. Hotel reception operates 24/7.'}"
FAQ0490,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['around the clock'], 'ground_truth': 'Hotel reception operates 24/7.'}"
FAQ0490,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['around the clock'], 'answer': 'Yes. Hotel reception operates 24/7.'}"
FAQ0491,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['24 h/24'], 'ground_truth': ""La réception de l'hôtel est ouverte 24h/24 et 7j/7.""}"
FAQ0491,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['24 h/24'], 'answer': ""Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.""}"
FAQ0491,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['24 heures'], 'ground_truth': ""La réception de l'hôtel est ouverte 24h/24 et 7j/7.""}"
FAQ0491,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['24 heures'], 'answer': ""Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.""}"
FAQ0492,GT_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['круглосуточ'], 'ground_truth': 'Стойка регистрации отеля работает 24 часа в сутки, 7 дней в неделю.'}"
FAQ0492,ANSWER_NOT_GROUNDED,"{'source': 'hotel_information.txt', 'required_anchor_group': ['круглосуточ'], 'answer': 'Да. Стойка регистрации отеля работает 24 часа в сутки, 7 дней в неделю.'}"
FAQ0493,GT_NOT_GROUNDED,"{'source': 'check_in_check_out.txt', 'ground_truth': 'وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.'}"
FAQ0493,ANSWER_NOT_GROUNDED,"{'source': 'check_in_check_out.txt', 'answer': 'يبدأ تسجيل الوصول المعتاد الساعة 3:00 مساءً.'}"
FAQ0497,GT_NOT_GROUNDED,"{'source': 'check_in_check_out.txt', 'ground_truth': 'وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.'}"
FAQ0497,ANSWER_NOT_GROUNDED,"{'source': 'check_in_check_out.txt', 'answer': 'موعد تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.'}"
FAQ0500,GT_NOT_GROUNDED,"{'source': 'check_in_check_out.txt', 'ground_truth': 'Стандартное время выезда — 12:00.'}"
FAQ0500,ANSWER_NOT_GROUNDED,"{'source': 'check_in_check_out.txt', 'answer': 'Обычно номер нужно освободить к 12:00.'}"
FAQ0510,ANSWER_NOT_GROUNDED,"{'source': 'identification_policy.txt', 'required_anchor_group': ['valid identification documents'], 'answer': 'Yes. Guests must provide valid identification during check-in. The current knowledge base does not specify the exact types of accepted documents.'}"
