faq_id_1,faq_id_2,intent_id,language_1,language_2,question_1,question_2,similarity,in_batch_1,in_batch_2
FAQ0178,FAQ0471,INT006,French,French,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel?,Est-il possible de demander un enregistrement anticipé au Nile Pearl Hotel ?,0.999861478805542,False,True
FAQ0385,FAQ0451,INT001,Arabic,French,في أي مدينة يوجد Nile Pearl Hotel؟,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9941577315330505,False,True
FAQ0029,FAQ0259,INT001,Russian,French,В какой части города расположен Nile Pearl Hotel?,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,0.9919513463973999,False,False
FAQ0017,FAQ0027,INT001,French,Russian,Où se trouve l'hôtel Nile Pearl Hotel?,Где расположен отель Nile Pearl Hotel?,0.9917696118354797,False,False
FAQ0423,FAQ0424,INT002,French,Russian,Quelle est la classification hôtelière du Nile Pearl Hotel ?,Какова гостиничная классификация Nile Pearl Hotel?,0.9916967153549194,False,False
FAQ0029,FAQ0451,INT001,Russian,French,В какой части города расположен Nile Pearl Hotel?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9914284348487854,False,True
FAQ0018,FAQ0025,INT001,French,Russian,Quelle est l'adresse de l'hôtel Nile Pearl Hotel ?,По какому адресу находится отель Nile Pearl Hotel?,0.9912368059158325,False,False
FAQ0291,FAQ0292,INT001,French,Russian,"Si je cherche l'hôtel au Caire, où se trouve exactement le Nile Pearl Hotel ?","Если я ищу отель в Каире, где именно находится Nile Pearl Hotel?",0.9901134967803955,False,False
FAQ0003,FAQ0451,INT001,English,French,In which city is Nile Pearl Hotel located?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9900825023651123,False,True
FAQ0020,FAQ0028,INT001,French,Russian,Quel est le nom de la ville où se trouve l'hôtel Nile Pearl Hotel ?,"Как называется город, в котором расположен отель Nile Pearl Hotel?",0.9898720979690552,False,False
FAQ0030,FAQ0388,INT001,Russian,Russian,В каком районе Каира расположен Nile Pearl Hotel?,Где в Каире расположен Nile Pearl Hotel?,0.9896354079246521,False,False
FAQ0044,FAQ0050,INT002,Arabic,French,كم عدد النجوم التي يُصنَّف بها فندق Nile Pearl Hotel؟,Combien d'étoiles a l'hôtel Nile Pearl Hotel?,0.9896214008331299,False,False
FAQ0418,FAQ0420,INT001,English,Russian,How can I identify the location of Nile Pearl Hotel within Cairo?,Как определить местоположение Nile Pearl Hotel в Каире?,0.988614559173584,False,False
FAQ0029,FAQ0385,INT001,Russian,Arabic,В какой части города расположен Nile Pearl Hotel?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9886057376861572,False,False
FAQ0259,FAQ0451,INT001,French,French,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?,Dans quelle ville se trouve le Nile Pearl Hotel ?,0.9880255460739136,False,True
FAQ0003,FAQ0029,INT001,English,Russian,In which city is Nile Pearl Hotel located?,В какой части города расположен Nile Pearl Hotel?,0.9872087240219116,False,False
FAQ0003,FAQ0385,INT001,English,Arabic,In which city is Nile Pearl Hotel located?,في أي مدينة يوجد Nile Pearl Hotel؟,0.9866971969604492,False,False
FAQ0029,FAQ0258,INT001,Russian,English,В какой части города расположен Nile Pearl Hotel?,Which part of the city is Nile Pearl Hotel located in?,0.9864250421524048,False,False
FAQ0058,FAQ0263,INT002,Russian,French,Какая категория отеля является для Nile Pearl Hotel?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9858695268630981,False,False
FAQ0013,FAQ0030,INT001,Arabic,Russian,في أي جزء من القاهرة يقع فندق Nile Pearl Hotel؟,В каком районе Каира расположен Nile Pearl Hotel?,0.9857730865478516,False,False
FAQ0295,FAQ0296,INT002,French,Russian,Je prévois de séjourner au Nile Pearl Hotel ; quelle est la catégorie de cet hôtel ?,Я планирую остановиться в Nile Pearl Hotel; к какой категории относится этот отель?,0.985175609588623,False,False
FAQ0009,FAQ0027,INT001,Arabic,Russian,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Где расположен отель Nile Pearl Hotel?,0.9848629236221313,False,False
FAQ0290,FAQ0292,INT001,English,Russian,"If I am looking for the hotel in Cairo, where exactly is Nile Pearl Hotel located?","Если я ищу отель в Каире, где именно находится Nile Pearl Hotel?",0.9846768379211426,False,False
