faq_id,intent_id,language,question,ground_truth,answer,source,GT_FAIL,ANSWER_FAIL
FAQ0169,INT006,Arabic,هل يمكن للنزيل الوصول إلى غرفته قبل موعد تسجيل الدخول المعتاد في Nile Pearl Hotel؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,check_in_check_out.txt,False,True
FAQ0170,INT006,Arabic,هل يسمح Nile Pearl Hotel بتسجيل الدخول إلى الغرفة في وقت أبكر من الموعد المحدد؟,Early check-in is subject to room availability and hotel approval.,نعم، يُسمح بتسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توافر الغرف وموافقة الفندق.,check_in_check_out.txt,False,True
FAQ0171,INT006,Arabic,هل يمكن للضيوف في Nile Pearl Hotel تسجيل الوصول مبكرًا؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن للضيوف تسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة عليها من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt,False,True
FAQ0173,INT006,Arabic,هل يمكنني الوصول إلى الفندق وتسجيل الوصول مبكرًا قبل الوقت المعتاد في Nile Pearl Hotel؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن الوصول إلى الفندق وتسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt,False,True
FAQ0174,INT006,Arabic,هل يمكنني الاستفسار عن إمكانية تسجيل الوصول المبكر في Nile Pearl Hotel؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكنكم الاستفسار عن تسجيل الوصول المبكر في Nile Pearl Hotel، حيث يعتمد ذلك على توفر الغرف وموافقة الفندق.,check_in_check_out.txt,False,True
FAQ0175,INT006,Arabic,إذا وصلت إلى Nile Pearl Hotel قبل موعد تسجيل الوصول المعتاد، هل يمكن للفندق ترتيب دخول الغرفة مبكرًا؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن للفندق ترتيب دخول الغرفة مبكرًا بناءً على توافر الغرف وموافقة الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,check_in_check_out.txt,False,True
FAQ0180,INT006,French,Peut-on demander un enregistrement anticipé au Nile Pearl Hotel avant l'heure normale?,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,check_in_check_out.txt,False,True
FAQ0185,INT006,Russian,Доступна ли ранняя регистрация заезда в Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt,False,True
FAQ0186,INT006,Russian,Разрешает ли отель Nile Pearl Hotel ранний заезд?,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt,False,True
FAQ0190,INT006,Russian,"Если я приеду значительно раньше стандартного времени, могу ли я попросить раннее заселение в Nile Pearl Hotel?",Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt,False,True
FAQ0309,INT006,Arabic,سأصل قبل موعد تسجيل الوصول، فهل يمكنني الدخول إلى غرفتي مبكرًا؟,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,Generated Batch 03,True,True
FAQ0310,INT006,English,I will arrive before the check-in time; can I enter my room early?,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.,Generated Batch 03,True,True
FAQ0311,INT006,French,J'arriverai avant l'heure d'arrivée prévue ; puis-je accéder à ma chambre plus tôt ?,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,Generated Batch 03,True,True
FAQ0312,INT006,Russian,Я приеду раньше времени регистрации; смогу ли я заселиться в номер раньше?,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров.",Generated Batch 03,True,True
FAQ0341,INT006,Arabic,هل أستطيع تقديم طلب لتسجيل الوصول قبل الموعد المعتاد؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,Generated Batch 04,False,True
FAQ0344,INT006,Russian,Можно ли подать запрос на заселение раньше обычного времени?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 04,False,True
FAQ0373,INT006,Arabic,هل يمكنني الحصول على الغرفة قبل بداية وقت تسجيل الوصول الرسمي؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,Generated Batch 05,False,True
FAQ0376,INT006,Russian,"Если я приеду раньше времени заезда, могу ли я попросить заселиться в номер раньше?",Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,Generated Batch 05,False,True
FAQ0405,INT006,Arabic,هل يسمح الفندق بتسجيل الوصول قبل الموعد المقرر إذا كانت الغرفة جاهزة؟,Early check-in is subject to room availability and hotel approval.,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,Generated Batch 06,False,True
