batch_faq_id,master_faq_id,batch_intent,master_intent,batch_language,master_language,similarity,batch_question,master_question
FAQ0513,FAQ0385,INT001,INT001,Arabic,Arabic,0.652632,أثناء التخطيط لرحلتي إلى مصر، في أي مدينة سأجد Nile Pearl Hotel؟,في أي مدينة يوجد Nile Pearl Hotel؟
FAQ0513,FAQ0048,INT001,INT002,Arabic,Arabic,0.564706,أثناء التخطيط لرحلتي إلى مصر، في أي مدينة سأجد Nile Pearl Hotel؟,أثناء التخطيط لرحلتي إلى مصر واختيار مكان للإقامة، أفكر في Nile Pearl Hotel. ما تصنيف الفندق من حيث عدد النجوم؟
FAQ0513,FAQ0014,INT001,INT001,Arabic,Arabic,0.563636,أثناء التخطيط لرحلتي إلى مصر، في أي مدينة سأجد Nile Pearl Hotel؟,كيف يمكنني الوصول إلى موقع فندق Nile Pearl Hotel؟
FAQ0514,FAQ0450,INT001,INT001,English,English,0.65,Which Egyptian city should I travel to if I am staying at the Nile Pearl Hotel?,Which city is home to the Nile Pearl Hotel?
FAQ0514,FAQ0004,INT001,INT001,English,English,0.617886,Which Egyptian city should I travel to if I am staying at the Nile Pearl Hotel?,In which city can I find the Nile Pearl Hotel?
FAQ0514,FAQ0136,INT001,INT005,English,English,0.596026,Which Egyptian city should I travel to if I am staying at the Nile Pearl Hotel?,By what time should I leave my room when checking out of Nile Pearl Hotel?
FAQ0515,FAQ0483,INT001,INT001,French,French,0.848101,Je prépare mon voyage en Égypte : dans quelle ville se trouve le Nile Pearl Hotel ?,"Pour un voyage en Égypte, dans quelle ville puis-je trouver le Nile Pearl Hotel ?"
FAQ0515,FAQ0451,INT001,INT001,French,French,0.740157,Je prépare mon voyage en Égypte : dans quelle ville se trouve le Nile Pearl Hotel ?,Dans quelle ville se trouve le Nile Pearl Hotel ?
FAQ0515,FAQ0023,INT001,INT001,French,French,0.663265,Je prépare mon voyage en Égypte : dans quelle ville se trouve le Nile Pearl Hotel ?,Je prépare ma voyage à Cairo et j'hésite entre plusieurs hôtels. J'aimerais savoir où se trouve l'hôtel Nile Pearl Hotel?
FAQ0516,FAQ0260,INT001,INT001,Russian,Russian,0.792453,В каком египетском городе находится Nile Pearl Hotel?,В каком районе города находится отель Nile Pearl Hotel?
FAQ0516,FAQ0059,INT001,INT002,Russian,Russian,0.747475,В каком египетском городе находится Nile Pearl Hotel?,В каком классе отеля находится Nile Pearl Hotel?
FAQ0516,FAQ0025,INT001,INT001,Russian,Russian,0.712871,В каком египетском городе находится Nile Pearl Hotel?,По какому адресу находится отель Nile Pearl Hotel?
