faq_id,intent,language,gt_availability,gt_approval,gt_canonical_ok,answer_availability,answer_approval,answer_canonical_ok,ground_truth,answer,gt_fee,answer_fee,gt_identification,answer_identification
FAQ0161,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,Early check-in at Nile Pearl Hotel is subject to room availability and hotel approval.,,,,
FAQ0162,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,Early check-in at Nile Pearl Hotel is possible based on room availability and hotel approval.,,,,
FAQ0163,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,Early check-in at Nile Pearl Hotel is subject to room availability and hotel approval.,,,,
FAQ0164,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Certainly, early check-in at Nile Pearl Hotel is possible based on room availability and hotel approval. Please let us know your preferred date, and we will do our best to accommodate your request.",,,,
FAQ0165,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Yes, you can request an early check-in at Nile Pearl Hotel. It is subject to room availability and hotel approval.",,,,
FAQ0166,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"Certainly, early check-in is possible based on room availability and hotel approval. Please let us know your preferred date and time, and we will do our best to accommodate your request.",,,,
FAQ0167,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,"If you arrive before the normal check-in time, please inform our front desk upon your arrival. Early check-in is subject to room availability and hotel approval. We will do our best to accommodate your request.",,,,
FAQ0168,INT006,English,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,Early check-in is possible upon request and subject to room availability and hotel approval.,,,,
FAQ0169,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.,,,,
FAQ0170,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يُسمح بتسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توافر الغرف وموافقة الفندق.,,,,
FAQ0171,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يمكن للضيوف تسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة عليها من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,,,,
FAQ0172,INT006,Arabic,True,True,True,True,True,True,Early check-in is subject to room availability and hotel approval.,نعم، يمكنك تسجيل الوصول مبكرًا في Nile Pearl Hotel، ولكن ذلك يعتمد على توفر الغرفة وموافقة الفندق.,,,,
FAQ0173,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يمكن الوصول إلى الفندق وتسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة من قبل الفندق. تنطبق هذه المعلومات على Nile Pearl Hotel.,,,,
FAQ0174,INT006,Arabic,True,True,True,False,True,False,Early check-in is subject to room availability and hotel approval.,نعم، يمكنكم الاستفسار عن تسجيل الوصول المبكر في Nile Pearl Hotel، حيث يعتمد ذلك على توفر الغرف وموافقة الفندق.,,,,
