faq_id_1,faq_id_2,intent_1,intent_2,language_1,language_2,question_1,question_2,similarity,in_batch_1,in_batch_2
FAQ0100,FAQ0466,INT004,INT005,English,English,What time is check-in usually available at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9739680290222168,False,True
FAQ0116,FAQ0466,INT004,INT005,French,English,Quelle heure est le check-in standard à l'hôtel Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9633973836898804,False,True
FAQ0019,FAQ0054,INT001,INT002,French,French,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.95389324426651,False,False
FAQ0124,FAQ0340,INT004,INT005,Russian,Russian,В какое время обычно можно заселиться в Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9496090412139893,False,False
FAQ0022,FAQ0054,INT001,INT002,French,French,Où est situé exactement l'hôtel Nile Pearl Hotel?,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9489167928695679,False,False
FAQ0129,FAQ0462,INT005,INT004,English,English,At what time must guests normally complete check-out at Nile Pearl Hotel?,From what time can guests normally check in at Nile Pearl Hotel?,0.9483778476715088,False,True
FAQ0336,FAQ0340,INT004,INT005,Russian,Russian,С какого часа гостям разрешается заселение в Nile Pearl Hotel?,До какого времени обычно нужно освободить номер в Nile Pearl Hotel?,0.9472031593322754,False,False
FAQ0100,FAQ0129,INT004,INT005,English,English,What time is check-in usually available at Nile Pearl Hotel?,At what time must guests normally complete check-out at Nile Pearl Hotel?,0.9466160535812378,False,False
FAQ0097,FAQ0129,INT004,INT005,English,English,At what time does the standard guest check-in begin at Nile Pearl Hotel?,At what time must guests normally complete check-out at Nile Pearl Hotel?,0.9457141757011414,False,False
FAQ0009,FAQ0058,INT001,INT002,Arabic,Russian,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Какая категория отеля является для Nile Pearl Hotel?,0.9456597566604614,False,False
FAQ0336,FAQ0468,INT004,INT005,Russian,Russian,С какого часа гостям разрешается заселение в Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.9433681964874268,False,True
FAQ0114,FAQ0468,INT004,INT005,French,Russian,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,К какому времени нужно освободить номер в Nile Pearl Hotel?,0.94197678565979,False,True
FAQ0027,FAQ0059,INT001,INT002,Russian,Russian,Где расположен отель Nile Pearl Hotel?,В каком классе отеля находится Nile Pearl Hotel?,0.9418305158615112,False,False
FAQ0019,FAQ0263,INT001,INT002,French,French,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9415124654769897,False,False
FAQ0114,FAQ0147,INT004,INT005,French,French,À quelle heure puis-je effectuer mon entrée au Nile Pearl Hotel?,À quelle heure faut-il effectuer le départ du Nile Pearl Hotel?,0.9414578080177307,False,False
FAQ0108,FAQ0139,INT004,INT005,Arabic,Arabic,متى يبدأ موعد تسجيل الوصول المعتاد للضيوف في فندق Nile Pearl Hotel؟,متى يجب على الضيوف إتمام تسجيل الخروج المعتاد من فندق Nile Pearl Hotel؟,0.9414248466491699,False,False
FAQ0009,FAQ0059,INT001,INT002,Arabic,Russian,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,В каком классе отеля находится Nile Pearl Hotel?,0.9411746263504028,False,False
FAQ0009,FAQ0263,INT001,INT002,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,À quelle catégorie hôtelière appartient le Nile Pearl Hotel ?,0.9408944249153137,False,False
FAQ0102,FAQ0133,INT004,INT005,English,English,At what time can I normally check in at Nile Pearl Hotel?,What is the designated time by which I need to check out by at Nile Pearl Hotel?,0.9406546354293823,False,False
FAQ0462,FAQ0466,INT004,INT005,English,English,From what time can guests normally check in at Nile Pearl Hotel?,What is the standard check-out time at Nile Pearl Hotel?,0.9404658675193787,True,True
FAQ0019,FAQ0059,INT001,INT002,French,Russian,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,В каком классе отеля находится Nile Pearl Hotel?,0.9398801326751709,False,False
FAQ0009,FAQ0054,INT001,INT002,Arabic,French,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,Dans quelle catégorie d'hôtel se situe exactement Nile Pearl Hotel?,0.9395146369934082,False,False
