feedback_id,customer_id,booking_id,feedback_category,rating,sentiment,feedback_text,feedback_channel,would_recommend
FB000001,C006895,B010651,Location,5,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000002,C003109,B002042,Food,4,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000003,C006452,B008669,Booking,3,Neutral,The stay was okay but there is room for improvement.,In-Hotel,Maybe
FB000004,C005847,B001115,Service,3,Neutral,Overall experience was satisfactory.,In-Hotel,Maybe
FB000005,C002095,B013903,Location,3,Neutral,The stay was okay but there is room for improvement.,In-Hotel,Maybe
FB000006,C002700,B011964,Overall Experience,5,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000007,C002981,B011073,Staff,4,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000008,C004944,B003003,Location,5,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000009,C005007,B019772,Booking,4,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000010,C009958,B008116,Service,4,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000011,C000528,B003526,Food,2,Negative,The room was not clean enough.,Survey,No
FB000012,C009222,B007880,Booking,3,Neutral,The experience was acceptable overall.,In-Hotel,Maybe
FB000013,C006029,B016442,Booking,5,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000014,C004253,B016297,Staff,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000015,C007389,B012567,Facilities,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000016,C004840,B005253,Service,5,Positive,Very good service and friendly staff.,Mobile App,Yes
FB000017,C005283,B019394,Cleanliness,3,Neutral,Overall experience was satisfactory.,Email,Maybe
FB000018,C003572,B016797,Booking,5,Positive,Excellent experience and very helpful staff.,In-Hotel,Yes
FB000019,C000326,B008095,Facilities,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000020,C004468,B000323,Cleanliness,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000021,C004155,B009924,Service,4,Positive,Very good service and friendly staff.,Website,Yes
FB000022,C003672,B007460,Room,2,Negative,The room was not clean enough.,Website,No
FB000023,C003994,B019025,Overall Experience,2,Negative,The room was not clean enough.,Website,No
FB000024,C007555,B017554,Facilities,4,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000025,C001152,B009120,Payment,5,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000026,C006387,B016422,Room,5,Positive,Very good service and friendly staff.,Mobile App,Yes
FB000027,C004526,B016061,Overall Experience,3,Neutral,The experience was acceptable overall.,In-Hotel,Maybe
FB000028,C001094,B010121,Staff,4,Positive,Very good service and friendly staff.,Survey,Yes
FB000029,C008359,B019056,Location,2,Negative,The service was slower than expected.,Mobile App,No
FB000030,C001610,B003650,Food,1,Negative,The staff could have been more helpful.,Mobile App,No
FB000031,C002784,B003942,Payment,5,Positive,Very good service and friendly staff.,Mobile App,Yes
FB000032,C000475,B017881,Staff,4,Positive,Very good service and friendly staff.,Email,Yes
FB000033,C005155,B016676,Service,2,Negative,There were some issues during the stay.,In-Hotel,No
FB000034,C004014,B012631,Staff,1,Negative,There were some issues during the stay.,In-Hotel,No
FB000035,C000307,B011444,Location,5,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000036,C007294,B012158,Service,1,Negative,The staff could have been more helpful.,Email,No
FB000037,C005810,B013836,Payment,4,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000038,C002752,B003435,Location,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000039,C009446,B018740,Cleanliness,2,Negative,The room was not clean enough.,Survey,No
FB000040,C008649,B017408,Food,3,Neutral,The stay was okay but there is room for improvement.,Email,Maybe
FB000041,C003326,B015441,Payment,4,Positive,Everything was well organized and enjoyable.,Email,Yes
FB000042,C005041,B010407,Cleanliness,5,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000043,C005268,B006518,Overall Experience,4,Positive,The room was clean and comfortable.,Survey,Yes
FB000044,C006372,B000972,Payment,4,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000045,C006990,B016488,Overall Experience,5,Positive,The room was clean and comfortable.,Website,Yes
FB000046,C003152,B019731,Service,5,Positive,The room was clean and comfortable.,In-Hotel,Yes
FB000047,C003742,B013138,Cleanliness,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000048,C008915,B003670,Food,4,Positive,Excellent experience and very helpful staff.,Survey,Yes
FB000049,C009445,B015984,Location,4,Positive,"Great experience, I would definitely stay again.",Email,Yes
FB000050,C007066,B004059,Booking,5,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000051,C001156,B014977,Staff,4,Positive,The room was clean and comfortable.,Email,Yes
FB000052,C008240,B015699,Room,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000053,C005935,B013830,Food,1,Negative,The service was slower than expected.,Survey,No
FB000054,C000119,B013420,Cleanliness,4,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000055,C007652,B000961,Booking,3,Neutral,Overall experience was satisfactory.,Website,Maybe
FB000056,C003998,B017745,Food,2,Negative,There were some issues during the stay.,Survey,No
FB000057,C007630,B009865,Cleanliness,2,Negative,The service was slower than expected.,Survey,No
FB000058,C002465,B011264,Facilities,4,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000059,C004926,B015783,Facilities,4,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000060,C009354,B017197,Overall Experience,3,Neutral,The stay was okay but there is room for improvement.,In-Hotel,Maybe
FB000061,C004947,B007555,Food,4,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000062,C008884,B010499,Facilities,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000063,C003174,B017060,Cleanliness,3,Neutral,The experience was acceptable overall.,In-Hotel,Maybe
FB000064,C006557,B017929,Overall Experience,5,Positive,Very good service and friendly staff.,Survey,Yes
FB000065,C005732,B007086,Cleanliness,5,Positive,The room was clean and comfortable.,Website,Yes
FB000066,C008603,B014754,Overall Experience,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000067,C005867,B004520,Food,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000068,C003151,B003025,Booking,4,Positive,Everything was well organized and enjoyable.,Website,Yes
FB000069,C008799,B012122,Location,2,Negative,The service was slower than expected.,Email,No
FB000070,C009512,B018495,Payment,3,Neutral,The stay was okay but there is room for improvement.,Email,Maybe
FB000071,C008842,B005484,Booking,2,Negative,The service was slower than expected.,Survey,No
FB000072,C006720,B001420,Service,5,Positive,Very good service and friendly staff.,Survey,Yes
FB000073,C001258,B006210,Cleanliness,3,Neutral,The stay was okay but there is room for improvement.,Website,Maybe
FB000074,C000270,B010743,Service,3,Neutral,The experience was acceptable overall.,Website,Maybe
FB000075,C001108,B016144,Booking,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000076,C003796,B017618,Overall Experience,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000077,C005472,B014569,Payment,5,Positive,Very good service and friendly staff.,Email,Yes
FB000078,C000401,B000981,Payment,1,Negative,The overall experience was disappointing.,Website,No
FB000079,C007345,B002784,Room,1,Negative,There were some issues during the stay.,Mobile App,No
FB000080,C009723,B007714,Payment,4,Positive,The room was clean and comfortable.,Survey,Yes
FB000081,C001003,B011519,Location,3,Neutral,Overall experience was satisfactory.,In-Hotel,Maybe
FB000082,C007835,B008601,Payment,1,Negative,There were some issues during the stay.,Website,No
FB000083,C004431,B011641,Booking,4,Positive,Very good service and friendly staff.,In-Hotel,Yes
FB000084,C003261,B018831,Room,5,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000085,C009520,B012563,Booking,4,Positive,The room was clean and comfortable.,Email,Yes
FB000086,C009875,B012752,Booking,5,Positive,Excellent experience and very helpful staff.,Mobile App,Yes
FB000087,C003046,B006385,Staff,5,Positive,Very good service and friendly staff.,Email,Yes
FB000088,C001843,B004808,Room,3,Neutral,Overall experience was satisfactory.,Mobile App,Maybe
FB000089,C000883,B006196,Booking,5,Positive,"Great experience, I would definitely stay again.",Website,Yes
FB000090,C000792,B010649,Staff,3,Neutral,The service was average.,Website,Maybe
FB000091,C004530,B007568,Staff,2,Negative,The staff could have been more helpful.,In-Hotel,No
FB000092,C007012,B016398,Room,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000093,C009630,B017525,Service,2,Negative,There were some issues during the stay.,Mobile App,No
FB000094,C001900,B001347,Overall Experience,5,Positive,Excellent experience and very helpful staff.,In-Hotel,Yes
FB000095,C007462,B013125,Location,3,Neutral,The experience was acceptable overall.,Survey,Maybe
FB000096,C008911,B012674,Overall Experience,4,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000097,C006609,B015456,Payment,4,Positive,"Great experience, I would definitely stay again.",Mobile App,Yes
FB000098,C006259,B014002,Location,2,Negative,The service was slower than expected.,Mobile App,No
FB000099,C007640,B018622,Payment,1,Negative,The staff could have been more helpful.,Survey,No
FB000100,C008499,B002120,Booking,4,Positive,Excellent experience and very helpful staff.,Website,Yes
FB000101,C005283,B015305,Cleanliness,5,Positive,The room was clean and comfortable.,In-Hotel,Yes
FB000102,C004033,B004310,Room,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000103,C004132,B004485,Location,4,Positive,"Great experience, I would definitely stay again.",Email,Yes
FB000104,C000758,B011014,Location,5,Positive,Excellent experience and very helpful staff.,Email,Yes
FB000105,C002070,B004771,Booking,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000106,C006855,B002713,Service,5,Positive,"Great experience, I would definitely stay again.",Survey,Yes
FB000107,C004967,B012187,Staff,4,Positive,Everything was well organized and enjoyable.,Website,Yes
FB000108,C006353,B016616,Booking,4,Positive,Very good service and friendly staff.,Email,Yes
FB000109,C004782,B010948,Facilities,5,Positive,"Great experience, I would definitely stay again.",In-Hotel,Yes
FB000110,C006960,B002546,Staff,4,Positive,Everything was well organized and enjoyable.,Mobile App,Yes
FB000111,C006306,B012620,Room,5,Positive,The room was clean and comfortable.,Mobile App,Yes
FB000112,C006711,B009852,Staff,4,Positive,"Great experience, I would definitely stay again.",Website,Yes
FB000113,C000478,B004411,Service,3,Neutral,The stay was okay but there is room for improvement.,Website,Maybe
FB000114,C009966,B019648,Staff,1,Negative,The overall experience was disappointing.,Email,No
FB000115,C002349,B012345,Room,4,Positive,Excellent experience and very helpful staff.,In-Hotel,Yes
FB000116,C008569,B012408,Service,4,Positive,Everything was well organized and enjoyable.,In-Hotel,Yes
FB000117,C007980,B009611,Overall Experience,5,Positive,Everything was well organized and enjoyable.,Survey,Yes
