issue,details
INT004_GT_TIME,FAQ0097
INT004_ANSWER_TIME,FAQ0097
INT004_GT_TIME,FAQ0098
INT004_ANSWER_TIME,FAQ0098
INT004_GT_TIME,FAQ0099
INT004_ANSWER_TIME,FAQ0099
INT004_GT_TIME,FAQ0100
INT004_ANSWER_TIME,FAQ0100
INT004_GT_TIME,FAQ0101
INT004_ANSWER_TIME,FAQ0101
INT004_GT_TIME,FAQ0102
INT004_ANSWER_TIME,FAQ0102
INT004_GT_TIME,FAQ0103
INT004_ANSWER_TIME,FAQ0103
INT004_GT_TIME,FAQ0104
INT004_ANSWER_TIME,FAQ0104
INT004_GT_TIME,FAQ0105
INT004_ANSWER_TIME,FAQ0105
INT004_GT_TIME,FAQ0106
INT004_ANSWER_TIME,FAQ0106
INT004_GT_TIME,FAQ0107
INT004_ANSWER_TIME,FAQ0107
INT004_GT_TIME,FAQ0108
INT004_ANSWER_TIME,FAQ0108
INT004_GT_TIME,FAQ0109
INT004_GT_TIME,FAQ0110
INT004_GT_TIME,FAQ0111
INT004_ANSWER_TIME,FAQ0111
INT004_GT_TIME,FAQ0112
INT004_ANSWER_TIME,FAQ0112
INT004_GT_TIME,FAQ0113
INT004_GT_TIME,FAQ0114
INT004_GT_TIME,FAQ0115
INT004_ANSWER_TIME,FAQ0115
INT004_GT_TIME,FAQ0116
INT004_GT_TIME,FAQ0117
INT004_GT_TIME,FAQ0118
INT004_GT_TIME,FAQ0119
INT004_GT_TIME,FAQ0120
INT004_GT_TIME,FAQ0121
INT004_ANSWER_TIME,FAQ0121
INT004_GT_TIME,FAQ0122
INT004_ANSWER_TIME,FAQ0122
INT004_GT_TIME,FAQ0123
INT004_ANSWER_TIME,FAQ0123
INT004_GT_TIME,FAQ0124
INT004_ANSWER_TIME,FAQ0124
INT004_GT_TIME,FAQ0125
INT004_ANSWER_TIME,FAQ0125
INT004_GT_TIME,FAQ0126
INT004_ANSWER_TIME,FAQ0126
INT004_GT_TIME,FAQ0127
INT004_ANSWER_TIME,FAQ0127
INT004_GT_TIME,FAQ0128
INT004_ANSWER_TIME,FAQ0128
INT005_GT_TIME,FAQ0129
INT005_ANSWER_TIME,FAQ0129
INT005_GT_TIME,FAQ0130
INT005_ANSWER_TIME,FAQ0130
INT005_GT_TIME,FAQ0131
INT005_ANSWER_TIME,FAQ0131
INT005_GT_TIME,FAQ0132
INT005_ANSWER_TIME,FAQ0132
INT005_GT_TIME,FAQ0133
INT005_ANSWER_TIME,FAQ0133
INT005_GT_TIME,FAQ0134
INT005_ANSWER_TIME,FAQ0134
INT005_GT_TIME,FAQ0135
INT005_ANSWER_TIME,FAQ0135
INT005_GT_TIME,FAQ0136
INT005_ANSWER_TIME,FAQ0136
INT005_GT_TIME,FAQ0137
INT005_ANSWER_TIME,FAQ0137
INT005_GT_TIME,FAQ0138
INT005_ANSWER_TIME,FAQ0138
INT005_GT_TIME,FAQ0139
INT005_ANSWER_TIME,FAQ0139
INT005_GT_TIME,FAQ0140
INT005_ANSWER_TIME,FAQ0140
INT005_GT_TIME,FAQ0141
INT005_ANSWER_TIME,FAQ0141
INT005_GT_TIME,FAQ0142
INT005_ANSWER_TIME,FAQ0142
INT005_GT_TIME,FAQ0143
INT005_ANSWER_TIME,FAQ0143
INT005_GT_TIME,FAQ0144
INT005_ANSWER_TIME,FAQ0144
INT005_GT_TIME,FAQ0145
INT005_ANSWER_TIME,FAQ0145
INT005_GT_TIME,FAQ0146
INT005_ANSWER_TIME,FAQ0146
INT005_GT_TIME,FAQ0147
INT005_ANSWER_TIME,FAQ0147
INT005_GT_TIME,FAQ0148
INT005_ANSWER_TIME,FAQ0148
INT005_GT_TIME,FAQ0149
INT005_ANSWER_TIME,FAQ0149
INT005_GT_TIME,FAQ0150
INT005_ANSWER_TIME,FAQ0150
INT005_GT_TIME,FAQ0151
INT005_ANSWER_TIME,FAQ0151
INT005_GT_TIME,FAQ0152
INT005_ANSWER_TIME,FAQ0152
INT005_GT_TIME,FAQ0153
INT005_ANSWER_TIME,FAQ0153
INT005_GT_TIME,FAQ0154
INT005_ANSWER_TIME,FAQ0154
INT005_GT_TIME,FAQ0155
INT005_ANSWER_TIME,FAQ0155
INT005_GT_TIME,FAQ0156
INT005_ANSWER_TIME,FAQ0156
INT005_GT_TIME,FAQ0157
INT005_ANSWER_TIME,FAQ0157
INT005_GT_TIME,FAQ0158
INT005_ANSWER_TIME,FAQ0158
INT005_GT_TIME,FAQ0159
INT005_ANSWER_TIME,FAQ0159
INT005_GT_TIME,FAQ0160
INT005_ANSWER_TIME,FAQ0160
INT004_GT_TIME,FAQ0269
INT004_ANSWER_TIME,FAQ0269
INT004_GT_TIME,FAQ0270
INT004_ANSWER_TIME,FAQ0270
INT004_GT_TIME,FAQ0272
INT004_ANSWER_TIME,FAQ0272
INT005_GT_TIME,FAQ0273
INT005_ANSWER_TIME,FAQ0273
INT005_GT_TIME,FAQ0274
INT005_ANSWER_TIME,FAQ0274
INT005_GT_TIME,FAQ0276
INT005_ANSWER_TIME,FAQ0276
INT004_GT_TIME,FAQ0301
INT004_ANSWER_TIME,FAQ0301
INT004_GT_TIME,FAQ0302
INT004_ANSWER_TIME,FAQ0302
INT004_GT_TIME,FAQ0304
INT004_ANSWER_TIME,FAQ0304
INT005_GT_TIME,FAQ0305
INT005_ANSWER_TIME,FAQ0305
INT005_GT_TIME,FAQ0306
INT005_ANSWER_TIME,FAQ0306
INT005_GT_TIME,FAQ0308
INT005_ANSWER_TIME,FAQ0308
INT004_GT_TIME,FAQ0333
INT004_ANSWER_TIME,FAQ0333
INT004_GT_TIME,FAQ0334
INT004_ANSWER_TIME,FAQ0334
INT004_GT_TIME,FAQ0335
INT004_GT_TIME,FAQ0336
INT004_ANSWER_TIME,FAQ0336
INT005_GT_TIME,FAQ0337
INT005_ANSWER_TIME,FAQ0337
INT005_GT_TIME,FAQ0338
INT005_ANSWER_TIME,FAQ0338
INT005_GT_TIME,FAQ0339
