issue,intent_id,language,count
INT007_ANSWER_FACT,INT007,French,11
INT007_ANSWER_FACT,INT007,Arabic,8
INT006_ANSWER_FACT,INT006,Russian,8
INT006_ANSWER_FACT,INT006,Arabic,5
INT007_ANSWER_FACT,INT007,Russian,4
INT008_ANSWER_IDENTIFICATION,INT008,French,2
INT006_ANSWER_FACT,INT006,French,2
INT006_GT_FACT,INT006,French,1
INT006_GT_FACT,INT006,Russian,1
INT006_GT_FACT,INT006,English,1
INT006_ANSWER_FACT,INT006,English,1
INT006_GT_FACT,INT006,Arabic,1
INT007_GT_FACT,INT007,Arabic,1
INT007_GT_FACT,INT007,English,1
INT007_GT_FACT,INT007,French,1
INT007_GT_FACT,INT007,Russian,1
INT008_ANSWER_IDENTIFICATION,INT008,Arabic,1
INT008_ANSWER_IDENTIFICATION,INT008,English,1
INT007_ANSWER_FACT,INT007,English,1
