faq_id,intent_id,language,gt_ok,answer_ok,gt_missing,answer_missing,ground_truth,answer
FAQ0288,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации, но текущая база знаний не указывает точные виды принимаемых документов.","При регистрации гости должны предъявить действительный документ, удостоверяющий личность. Текущая база знаний не указывает точные виды принимаемых документов."
FAQ0309,INT006,Arabic,False,False,approval,approval,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على التوافر.
FAQ0310,INT006,English,False,False,approval,approval,Early check-in can be requested and is subject to availability.,Early check-in can be requested and is subject to availability.
FAQ0311,INT006,French,False,False,approval,approval,L'arrivée anticipée peut être demandée et dépend de la disponibilité.,L'arrivée anticipée peut être demandée et dépend de la disponibilité.
FAQ0312,INT006,Russian,False,False,approval,approval,"Ранний заезд можно запросить, но он зависит от наличия свободных номеров.","Ранний заезд можно запросить, но он зависит от наличия свободных номеров."
FAQ0313,INT007,Arabic,False,False,additional_fee,additional_fee,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.,يمكن طلب تسجيل المغادرة المتأخر، ويعتمد ذلك على التوافر.
FAQ0314,INT007,English,False,False,additional_fee,additional_fee,Late check-out can be requested and is subject to availability.,Late check-out can be requested and is subject to availability.
FAQ0315,INT007,French,False,False,additional_fee,additional_fee,Un départ tardif peut être demandé et dépend de la disponibilité.,Un départ tardif peut être demandé et dépend de la disponibilité.
FAQ0316,INT007,Russian,False,False,additional_fee,additional_fee,"Поздний выезд можно запросить, но он зависит от наличия.","Поздний выезд можно запросить, но он зависит от наличия."
FAQ0320,INT008,Russian,False,False,valid_identification,valid_identification,"При регистрации необходимо предъявить действительный документ, удостоверяющий личность.","При регистрации необходимо предъявить действительный документ, удостоверяющий личность."
FAQ0480,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","Да, при заселении необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов."
FAQ0512,INT008,Russian,False,False,valid_identification,valid_identification,"Гости должны предъявить действительный документ, удостоверяющий личность, при регистрации заезда; при этом база знаний не указывает точные виды принимаемых документов.","При регистрации заезда необходимо предъявить действительный документ, удостоверяющий личность. База знаний не указывает точные виды принимаемых документов."
