faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0001,INT001,English,Direct,Where is Nile Pearl Hotel located?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0002,INT001,English,Direct,Where is Nile Pearl Hotel situated?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2,Easy,"Nile Pearl Hotel is situated in Cairo, Egypt."
FAQ0003,INT001,English,Direct,In which city is Nile Pearl Hotel located?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0004,INT001,English,Paraphrased,In which city can I find the Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"The Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0005,INT001,English,Paraphrased,Where can I find the Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0006,INT001,English,Paraphrased,In which major city can Nile Pearl Hotel be found?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel can be found in Cairo, Egypt."
FAQ0007,INT001,English,Scenario,"While planning my trip to Egypt, I want to make sure I can easily find the Nile Pearl Hotel. Could you tell me which city it is located in?",valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0008,INT001,English,Scenario,"While planning my trip to Egypt, I want to make sure I know where to find Nile Pearl Hotel. Can you tell me which city it's located in?",valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0009,INT001,Arabic,Direct,ما هو موقع فندق Nile Pearl Hotel بالتحديد؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,يقع فندق Nile Pearl Hotel في القاهرة، مصر.
FAQ0010,INT001,Arabic,Direct,أين يقع فندق Nile Pearl Hotel بالنسبة للمنطقة المحيطة؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0011,INT001,Arabic,Direct,ما عنوان فندق Nile Pearl Hotel؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,5,Easy,يقع فندق نيل بيرل في القاهرة، مصر. تنطبق هذه المعلومات على Nile Pearl Hotel.
FAQ0012,INT001,Arabic,Paraphrased,أين يقع Nile Pearl Hotel في مصر؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0013,INT001,Arabic,Paraphrased,في أي منطقة يقع فندق Nile Pearl Hotel؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,تقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0014,INT001,Arabic,Paraphrased,كيف يمكنني الوصول إلى موقع فندق Nile Pearl Hotel؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,يقع فندق Nile Pearl Hotel في القاهرة، مصر.
FAQ0015,INT001,Arabic,Scenario,أنا مهتم بزيارة مصر وحجز غرفة في Nile Pearl Hotel، فهل يمكنك معرفة موقعه في القاهرة؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,موقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0016,INT001,Arabic,Scenario,أنا أخطط لزيارة مصر وقمت بالبحث عن فندق Nile Pearl Hotel، هل يمكنني أن أعرف موقع هذا الفندق في القاهرة؟,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,يقع فندق Nile Pearl Hotel في القاهرة، مصر.
FAQ0017,INT001,French,Direct,Où se trouve l'hôtel Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0018,INT001,French,Direct,Quelle est l'adresse de l'hôtel Nile Pearl Hotel ?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0019,INT001,French,Direct,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0020,INT001,French,Paraphrased,Quel est le nom de la ville où se trouve l'hôtel Nile Pearl Hotel ?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0021,INT001,French,Paraphrased,Dans quelle ville puis-je trouver l'hôtel Nile Pearl Hotel ?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0022,INT001,French,Paraphrased,Où est situé exactement l'hôtel Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0023,INT001,French,Scenario,Je prépare ma voyage à Cairo et j'hésite entre plusieurs hôtels. J'aimerais savoir où se trouve l'hôtel Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0024,INT001,French,Scenario,Vous préparez votre voyage à l'étranger et vous vous demandez où se situe l'hôtel Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel se trouve à Cairo, en Égypte."
FAQ0025,INT001,Russian,Direct,По какому адресу находится отель Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel находится в Каире, Египет."
FAQ0026,INT001,Russian,Direct,Каков точный адрес отеля Nile Pearl Hotel в городе?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel находится в Каире, Египет."
FAQ0027,INT001,Russian,Direct,Где расположен отель Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,1,Easy,"Nile Pearl Hotel расположен в Каире, Египет."
FAQ0028,INT001,Russian,Paraphrased,"Как называется город, в котором расположен отель Nile Pearl Hotel?",valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2,Easy,"Nile Pearl Hotel находится в городе Каире, Египет."
FAQ0029,INT001,Russian,Paraphrased,В каком городе расположен отель Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6,Easy,"Nile Pearl Hotel расположен в городе Каире, Египет."
FAQ0030,INT001,Russian,Paraphrased,Где находится гостиница Nile Pearl Hotel?,valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6,Easy,"Nile Pearl Hotel находится в Каире, Египет."
FAQ0031,INT001,Russian,Scenario,"Если я планирую поездку в Египет, где находится отель Nile Pearl Hotel?",valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,6,Easy,"Nile Pearl Hotel находится в Каире, Египет."
FAQ0032,INT001,Russian,Scenario,"Вы планируете поездку в Египет и интересуетесь, в каком городе находится Nile Pearl Hotel?",valid,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,2,Easy,"Nile Pearl Hotel находится в городе Каире, Египет."
FAQ0033,INT002,English,Direct,How many stars is Nile Pearl Hotel rated?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is rated 5 stars.
FAQ0034,INT002,English,Direct,What star rating does Nile Pearl Hotel have?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star establishment.
FAQ0035,INT002,English,Direct,What category of hotel is Nile Pearl Hotel classified as?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is classified as a 5-star hotel.
FAQ0036,INT002,English,Paraphrased,What is the star classification of Nile Pearl Hotel?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star establishment.
FAQ0037,INT002,English,Paraphrased,What rating does Nile Pearl Hotel hold?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel holds a 5-star rating.
FAQ0038,INT002,English,Paraphrased,What star rating does the Nile Pearl Hotel possess?,valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star establishment.
FAQ0039,INT002,English,Scenario,"If I am choosing Nile Pearl Hotel for my stay in Cairo, what star rating does the hotel have?",valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star establishment.
FAQ0040,INT002,English,Scenario,"While choosing a hotel for my trip to Cairo, I'm considering Nile Pearl Hotel. How many stars is this hotel rated?",valid,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star establishment.
