faq_id,intent_id,intent_name,category,language,question_type,difficulty,question,answer,ground_truth,source
FAQ0001,INT001,hotel_location,Hotel Information,English,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0002,INT001,hotel_location,Hotel Information,English,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0003,INT001,hotel_location,Hotel Information,English,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0004,INT001,hotel_location,Hotel Information,English,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0005,INT001,hotel_location,Hotel Information,English,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0006,INT001,hotel_location,Hotel Information,English,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0007,INT001,hotel_location,Hotel Information,English,Scenario,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0008,INT001,hotel_location,Hotel Information,English,Scenario,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0009,INT001,hotel_location,Hotel Information,Arabic,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0010,INT001,hotel_location,Hotel Information,Arabic,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0011,INT001,hotel_location,Hotel Information,Arabic,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0012,INT001,hotel_location,Hotel Information,Arabic,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0013,INT001,hotel_location,Hotel Information,Arabic,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0014,INT001,hotel_location,Hotel Information,Arabic,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0015,INT001,hotel_location,Hotel Information,Arabic,Scenario,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0016,INT001,hotel_location,Hotel Information,Arabic,Scenario,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0017,INT001,hotel_location,Hotel Information,French,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0018,INT001,hotel_location,Hotel Information,French,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0019,INT001,hotel_location,Hotel Information,French,Direct,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
FAQ0020,INT001,hotel_location,Hotel Information,French,Paraphrased,Easy,,,"Nile Pearl Hotel is located in Cairo, Egypt.",hotel_information.txt
